"Tabela 1.1.1.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de idade,Pessoas de 10 anos ou mais de idade (%),,,,,,Sexo e grupos de idade,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
10 a 14 anos,0.7,1.5,1.1,1.4,2,2,10 a 14 anos,0.7,1.5,1.1,1.4,2.1,2.1
15 a 17 anos,0.8,2.2,1.4,1.5,2.1,2.4,15 a 17 anos,0.8,2.2,1.4,1.5,2.2,2.4
18 ou 19 anos,1,2.4,1.8,1.7,2.8,3.1,18 ou 19 anos,1,2.4,1.8,1.7,2.8,3.1
20 a 24 anos,0.7,1.7,1.3,1.3,1.9,1.9,20 a 24 anos,0.7,1.6,1.3,1.3,2,1.9
25 a 29 anos,0.7,1.6,1.2,1.3,1.8,2,25 a 29 anos,0.7,1.7,1.2,1.3,1.8,2
30 a 34 anos,0.7,1.8,1.2,1.3,1.7,2,30 a 34 anos,0.7,1.8,1.2,1.3,1.8,2
35 a 39 anos,0.7,1.5,1.2,1.2,1.7,1.9,35 a 39 anos,0.7,1.5,1.2,1.2,1.7,2
40 a 44 anos,0.7,1.7,1.2,1.2,1.7,1.8,40 a 44 anos,0.7,1.7,1.2,1.2,1.7,1.8
45 a 49 anos,0.8,1.8,1.4,1.3,2.1,2,45 a 49 anos,0.8,1.7,1.3,1.3,2.1,2
50 a 54 anos,0.8,2,1.4,1.4,1.8,2.4,50 a 54 anos,0.8,2,1.4,1.3,1.7,2.3
55 a 59 anos,0.9,2.8,1.7,1.5,2.2,2.7,55 a 59 anos,0.9,2.7,1.7,1.4,2.1,2.6
60 anos ou mais,0.7,1.9,1.3,1.3,1.6,2.1,60 anos ou mais,0.7,1.8,1.2,1.2,1.5,2
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
10 a 14 anos,1,1.9,1.5,1.9,2.7,2.8,10 a 14 anos,0.9,1.9,1.5,1.8,2.6,2.7
15 a 17 anos,1.2,3.1,2.1,2.1,3,3.3,15 a 17 anos,1.1,3.1,2,2.1,3,3.2
18 ou 19 anos,1.4,3.3,2.6,2.3,3.9,4.1,18 ou 19 anos,1.4,3.2,2.6,2.3,3.9,4
20 a 24 anos,1,2.3,1.7,1.8,2.6,2.6,20 a 24 anos,0.9,2.3,1.6,1.7,2.5,2.5
25 a 29 anos,1,2.3,1.6,1.7,2.5,2.7,25 a 29 anos,0.9,2.3,1.6,1.7,2.5,2.7
30 a 34 anos,0.9,2.3,1.7,1.7,2.1,2.6,30 a 34 anos,0.9,2.3,1.7,1.7,2.2,2.6
35 a 39 anos,0.9,2.3,1.8,1.5,2.2,2.6,35 a 39 anos,0.9,2.3,1.8,1.6,2.2,2.7
40 a 44 anos,1,2.3,1.8,1.6,2.4,2.5,40 a 44 anos,1,2.3,1.8,1.6,2.3,2.5
45 a 49 anos,1,2.5,1.9,1.8,2.6,2.7,45 a 49 anos,1,2.5,1.9,1.8,2.5,2.7
50 a 54 anos,1.1,2.8,1.9,1.8,2.6,3,50 a 54 anos,1.1,2.7,1.9,1.8,2.5,2.9
55 a 59 anos,1.2,3.4,2.2,2,3,3.6,55 a 59 anos,1.2,3.3,2.2,1.9,2.9,3.6
60 anos ou mais,0.8,2.1,1.5,1.4,1.9,2.5,60 anos ou mais,0.8,2,1.4,1.4,1.8,2.4
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
10 a 14 anos,1,2,1.7,1.9,2.8,2.9,10 a 14 anos,1,2,1.7,1.8,2.8,2.8
15 a 17 anos,1.2,2.8,2,2.2,2.9,3.4,15 a 17 anos,1.2,2.7,1.9,2.2,2.9,3.4
18 ou 19 anos,1.4,3.3,2.4,2.5,3.7,4.6,18 ou 19 anos,1.4,3.3,2.3,2.5,3.7,4.6
20 a 24 anos,1,2.3,1.7,1.7,2.6,2.8,20 a 24 anos,1,2.2,1.7,1.7,2.6,2.8
25 a 29 anos,0.9,2.1,1.5,1.6,2.4,2.7,25 a 29 anos,0.9,2.1,1.6,1.6,2.3,2.7
30 a 34 anos,0.9,2.3,1.6,1.6,2.3,2.6,30 a 34 anos,0.9,2.4,1.7,1.6,2.3,2.6
35 a 39 anos,0.9,1.9,1.6,1.6,2.2,2.3,35 a 39 anos,0.9,1.9,1.5,1.6,2.3,2.4
40 a 44 anos,0.9,2.2,1.6,1.6,2.2,2.4,40 a 44 anos,0.9,2.2,1.6,1.6,2.2,2.4
45 a 49 anos,1,2.5,1.8,1.6,2.5,2.5,45 a 49 anos,1,2.5,1.8,1.6,2.5,2.5
50 a 54 anos,1,2.6,1.9,1.7,2.1,3.2,50 a 54 anos,1,2.6,1.8,1.6,2.1,3
55 a 59 anos,1.1,3.4,2.1,1.8,2.6,3.2,55 a 59 anos,1.1,3.3,2.1,1.8,2.6,3.1
60 anos ou mais,0.8,2.2,1.4,1.4,1.8,2.5,60 anos ou mais,0.8,2.1,1.3,1.3,1.7,2.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
