"Tabela 1.1.10.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.10.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e nível de instrução,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e nível de instrução,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.5,1.1,0.8,1,1.5,2,Total,0,0,0,0,0,0
Sem instrução,1.1,2.5,1.6,2.3,3.8,3.5,Sem instrução,0.9,2.4,1.3,1.8,3.4,3
Fundamental incompleto,0.7,1.5,1.1,1.2,2,2.5,Fundamental incompleto,0.4,1,0.7,0.7,1.1,1.1
Fundamental completo,1.2,3.2,2.2,2.1,2.8,3.5,Fundamental completo,1.1,3,2.1,1.8,2.8,3.2
Médio incompleto,1.8,3.5,3.1,3.7,4.9,5.7,Médio incompleto,1.7,3.2,2.9,3.5,4.7,4.9
Médio completo,1.2,2.7,2.1,2,3,3.5,Médio completo,1,2.6,2,1.7,2.8,3.1
Superior incompleto,4.6,9.4,8.5,8.6,10.9,13.1,Superior incompleto,4.5,9.2,8.4,8.7,10.7,12.9
Superior completo,2.8,6.8,5.4,5,6.4,7.2,Superior completo,2.8,6.7,5.4,4.9,6.4,7.2
Não determinado,8.6,18,13.6,25.1,19,32.5,Não determinado,8.6,17.8,13.6,25.1,19,32.7
Homens,0.6,1.2,0.9,1.2,1.7,2.1,Homens,0,0,0,0,0,0
Sem instrução,1.3,2.9,1.8,2.9,5.1,4.2,Sem instrução,1.1,2.7,1.5,2.4,4.5,3.4
Fundamental incompleto,0.8,1.6,1.2,1.5,2.3,2.6,Fundamental incompleto,0.5,1.1,0.9,0.9,1.2,1.4
Fundamental completo,1.5,3.7,3.1,2.7,3.4,3.9,Fundamental completo,1.4,3.5,3,2.4,3.4,3.6
Médio incompleto,2.5,4.8,4.6,4.9,6.9,7.4,Médio incompleto,2.4,4.5,4.4,4.8,6.6,6.8
Médio completo,1.5,3.5,2.7,2.6,3.7,4.3,Médio completo,1.4,3.2,2.6,2.3,3.7,4
Superior incompleto,6.4,12.4,12.8,12.1,13,17.7,Superior incompleto,6.4,12.4,12.7,12.1,13,17.7
Superior completo,4.4,10.4,9.8,7.2,9.8,10.3,Superior completo,4.4,10.3,9.8,7.2,9.8,10.3
Não determinado,11.3,20.4,16.6,36.9,25.8,53.2,Não determinado,11.3,20.2,16.7,37.2,25.9,53.6
Mulheres,0.5,1.2,0.9,1,1.5,2.1,Mulheres,0,0,0,0,0,0
Sem instrução,1.2,3,1.8,2.5,3.9,4.1,Sem instrução,1,2.9,1.5,2.1,3.5,3.7
Fundamental incompleto,0.7,1.7,1.2,1.2,2.1,2.8,Fundamental incompleto,0.5,1.2,0.9,0.8,1.3,1.5
Fundamental completo,1.5,4.1,2.7,2.5,3.7,4.5,Fundamental completo,1.4,3.8,2.6,2.4,3.6,4.2
Médio incompleto,2.2,4.3,3.5,4.8,6.2,7,Médio incompleto,2.1,4.1,3.4,4.6,6.1,6.3
Médio completo,1.3,2.9,2.3,2.4,3.5,4.1,Médio completo,1.2,2.8,2.1,2.1,3.3,3.7
Superior incompleto,5.7,14.1,9.8,10.9,16.1,15.5,Superior incompleto,5.7,13.9,9.7,10.9,15.9,15.1
Superior completo,3.1,7.3,5.8,5.6,7,8.5,Superior completo,3.1,7.2,5.8,5.6,7,8.5
Não determinado,10.3,21.2,17.2,29.4,22.5,33.6,Não determinado,10.2,21,17.1,29.2,22.3,33.7
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
