"Tabela 1.1.12.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.12.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (%),,,,,,"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
Utilizaram,0.4,1.4,1,0.6,1,1.2,Utilizaram,0.4,1.3,1,0.5,1,1.1
Não utilizaram,0.5,1.1,0.8,1,1.5,2,Não utilizaram,0.5,1.1,0.8,1,1.5,2
Economicamente ativas,0.3,0.7,0.5,0.4,0.7,0.7,Economicamente ativas,0,0,0,0,0,0
Utilizaram,0.5,1.5,1.2,0.7,1.2,1.4,Utilizaram,0.4,1.4,1,0.5,1,1.1
Não utilizaram,0.7,1.5,1.2,1.5,2.1,2.5,Não utilizaram,0.7,1.4,1.1,1.4,2.1,2.5
Não economicamente ativas,0.4,0.9,0.7,0.6,1,1,Não economicamente ativas,0,0,0,0,0,0
Utilizaram,0.5,1.7,1.1,0.9,1.2,1.5,Utilizaram,0.5,1.7,1.2,0.8,1.2,1.4
Não utilizaram,0.7,1.6,1.2,1.2,1.9,2.1,Não utilizaram,0.5,1.1,0.7,0.9,1.2,1.6
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
Utilizaram,0.5,1.5,1.1,0.6,1.1,1.3,Utilizaram,0.4,1.5,1.1,0.6,1,1.2
Não utilizaram,0.6,1.2,0.9,1.2,1.7,2.1,Não utilizaram,0.6,1.2,0.9,1.1,1.6,2.1
Economicamente ativas,0.3,0.7,0.6,0.5,0.7,0.7,Economicamente ativas,0,0,0,0,0,0
Utilizaram,0.5,1.7,1.3,0.7,1.3,1.5,Utilizaram,0.5,1.6,1.2,0.6,1.1,1.2
Não utilizaram,0.8,1.5,1.1,1.6,2.2,2.3,Não utilizaram,0.7,1.3,1,1.5,2,2.3
Não economicamente ativas,0.6,1.4,1,1,1.3,1.7,Não economicamente ativas,0,0,0,0,0,0
Utilizaram,0.8,2.3,1.5,1.3,1.8,2.3,Utilizaram,0.7,2.2,1.4,1,1.6,1.8
Não utilizaram,0.9,2.3,1.6,1.6,2.3,3.1,Não utilizaram,0.6,1.5,1,1.2,1.7,2.4
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
Utilizaram,0.4,1.4,1.1,0.7,1.1,1.3,Utilizaram,0.4,1.3,1,0.6,1,1.1
Não utilizaram,0.5,1.2,0.9,1,1.5,2.1,Não utilizaram,0.5,1.2,0.8,1,1.5,2.1
Economicamente ativas,0.4,1.2,0.8,0.6,1,1.1,Economicamente ativas,0,0,0,0,0,0
Utilizaram,0.6,1.7,1.3,0.8,1.4,1.7,Utilizaram,0.4,1.3,1.1,0.5,0.9,1.2
Não utilizaram,1,2.3,1.7,1.7,2.5,3.5,Não utilizaram,0.9,1.9,1.5,1.7,2.4,3.5
Não economicamente ativas,0.4,0.9,0.8,0.7,1.1,1.2,Não economicamente ativas,0,0,0,0,0,0
Utilizaram,0.6,1.7,1.3,1,1.5,1.7,Utilizaram,0.6,1.7,1.3,0.9,1.4,1.4
Não utilizaram,0.7,1.6,1.2,1.3,2,2.1,Não utilizaram,0.5,1.2,0.8,1,1.3,1.6
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
