"Tabela 1.1.14.1a - Coeficientes de variação das estimativas de estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.14.2a - Coeficientes de variação das estimativas de distribuição dos estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Estudantes de 10 anos ou mais de idade (%),,,,,,"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição dos estudantes de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.5,1.2,0.8,0.9,1.2,1.2,Total,0,0,0,0,0,0
Utilizaram,0.6,1.7,1.2,1,1.3,1.5,Utilizaram,0.4,1.6,1,0.4,0.7,0.8
Não utilizaram,1.6,3.1,2.4,3.5,5.5,5.8,Não utilizaram,1.5,2.6,2.2,3.4,5.3,5.7
Ocupadas,1.1,3.1,1.9,1.9,2.8,2.9,Ocupadas,0,0,0,0,0,0
Utilizaram,1.2,3.1,2.3,2,2.9,3,Utilizaram,0.5,2.2,1.4,0.5,0.5,0.9
Não utilizaram,3.4,7.3,5.1,8.1,9.4,12.2,Não utilizaram,3.2,5.5,4.5,7.9,9.2,11.9
Não ocupadas,0.5,1.2,0.9,1,1.4,1.4,Não ocupadas,0,0,0,0,0,0
Utilizaram,0.6,1.8,1.2,1.1,1.5,1.7,Utilizaram,0.4,1.8,1,0.5,0.9,1
Não utilizaram,1.6,3.3,2.4,3.6,5.9,5.9,Não utilizaram,1.5,2.7,2.1,3.4,5.3,5.7
Homens,0.6,1.5,1.1,1.2,1.6,1.8,Homens,0,0,0,0,0,0
Utilizaram,0.8,2,1.5,1.3,1.8,2.2,Utilizaram,0.5,1.8,1.2,0.5,0.9,1
Não utilizaram,1.8,3.4,2.7,4,6.4,6.8,Não utilizaram,1.6,2.7,2.3,3.8,6,6.8
Ocupados,1.4,3.7,2.6,2.5,3.2,3.4,Ocupados,0,0,0,0,0,0
Utilizaram,1.5,3.6,2.9,2.6,3.3,3.6,Utilizaram,0.7,2.8,2,0.6,0.8,1
Não utilizaram,3.9,7.8,5.7,9.7,11.4,14.9,Não utilizaram,3.5,5.6,4.6,9.3,10.9,14.5
Não ocupados,0.8,1.7,1.3,1.4,2,2.1,Não ocupados,0,0,0,0,0,0
Utilizaram,0.9,2.4,1.7,1.5,2,2.6,Utilizaram,0.5,2.2,1.2,0.7,1.1,1.3
Não utilizaram,1.9,3.8,2.8,4.2,7.1,7.3,Não utilizaram,1.7,3,2.3,3.9,6.3,7.1
Mulheres,0.6,1.4,1.1,1.2,1.6,1.7,Mulheres,0,0,0,0,0,0
Utilizaram,0.8,2,1.5,1.3,1.7,1.9,Utilizaram,0.4,1.6,1,0.5,0.8,0.9
Não utilizaram,1.9,3.5,2.8,4.5,7.1,6.9,Não utilizaram,1.8,3,2.6,4.4,6.6,6.7
Ocupadas,1.4,3.6,2.7,2.6,3.6,3.7,Ocupadas,0,0,0,0,0,0
Utilizaram,1.5,4,2.9,2.7,3.7,4,Utilizaram,0.5,2.2,1.3,0.6,0.6,1.1
Não utilizaram,4.8,9,7.9,11.5,14.3,14.8,Não utilizaram,4.7,7.7,7.3,11.4,13.9,14.6
Não ocupadas,0.7,1.5,1.3,1.4,2,1.9,Não ocupadas,0,0,0,0,0,0
Utilizaram,0.9,2.1,1.6,1.5,2.1,2.2,Utilizaram,0.5,1.9,1.2,0.6,1.1,1.1
Não utilizaram,2,3.8,2.9,4.6,7.5,7,Não utilizaram,1.8,3.1,2.5,4.4,6.8,6.7
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
