"Tabela 1.1.16.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.16.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,,"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,0.8,0.6,0.4,0.8,0.7,Total,0,0,0,0,0,0
Dirigentes em geral,1.8,4.5,3.9,2.8,3.6,4.3,Dirigentes em geral,1.7,4.4,3.7,2.7,3.5,4.2
Profissionais das ciências e das artes,1.5,3.6,3.1,2.4,3,3.8,Profissionais das ciências e das artes,1.4,3.4,3,2.4,2.9,3.6
Técnicos de nível médio,1.2,3,2.4,2,2.9,3.4,Técnicos de nível médio,1.2,3,2.4,1.9,2.8,3.3
Trabalhadores de serviços administrativos,1.1,2.8,2.4,1.6,2.4,2.9,Trabalhadores de serviços administrativos,1,2.7,2.4,1.6,2.2,2.8
Trabalhadores dos serviços,0.8,1.8,1.4,1.3,2.2,1.8,Trabalhadores dos serviços,0.8,1.9,1.4,1.3,2.2,1.9
Vendedores e prestadores de serviço do comércio,1,2.7,1.8,1.8,2.7,3,Vendedores e prestadores de serviço do comércio,1,2.7,1.9,1.8,2.7,2.9
Trabalhadores agrícolas,2.2,4.1,3,6,6.4,5.9,Trabalhadores agrícolas,2.1,3.8,2.9,5.8,6.1,5.8
Trabalhadores da produção de bens e serviços e de reparação e manutenção,0.8,2.3,1.6,1.2,1.9,2,Trabalhadores da produção de bens e serviços e de reparação e manutenção,0.8,2.3,1.6,1.3,1.8,2
Membros das forças armadas e auxiliares,4.1,7.4,6.4,7.9,9.3,7.3,Membros das forças armadas e auxiliares,4.1,7.4,6.5,7.9,9.3,7.2
Ocupações maldefinidas,24.4,99.3,62.4,31.5,41.5,-,Ocupações maldefinidas,24.4,99.3,62.4,31.5,41.4,-
Utilizaram,0.5,1.6,1.3,0.7,1.3,1.5,Utilizaram,0,0,0,0,0,0
Dirigentes em geral,1.9,5.1,4.3,3,3.9,4.7,Dirigentes em geral,1.7,4.6,3.7,2.7,3.3,4.2
Profissionais das ciências e das artes,1.5,3.9,3.3,2.5,3.1,4,Profissionais das ciências e das artes,1.4,3.4,2.8,2.2,2.7,3.4
Técnicos de nível médio,1.3,3.5,2.6,2.1,3,3.6,Técnicos de nível médio,1.2,3.1,2.3,1.9,2.6,3.2
Trabalhadores de serviços administrativos,1.1,3.1,2.6,1.7,2.5,3.2,Trabalhadores de serviços administrativos,1,2.6,2.1,1.5,2.1,2.7
