"Tabela 1.1.16.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grupamentos ocupacionais no trabalho principal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.4,1.5,1.1,0.6,1,1.2
Dirigentes em geral,0.5,1.9,1.4,0.6,1,1.2
Profissionais das ciências e das artes,0.2,1.2,0.9,0.3,0.5,0.6
Técnicos de nível médio,0.4,1.7,1.2,0.5,0.8,0.9
Trabalhadores de serviços administrativos,0.3,1.2,0.8,0.4,0.7,0.9
Trabalhadores dos serviços,0.6,1.8,1.2,0.9,1.3,1.7
Vendedores e prestadores de serviço do comércio,0.6,2.1,1.4,0.9,1.2,1.5
Trabalhadores agrícolas,2.6,6.6,5.1,4.9,4.2,5.8
Trabalhadores da produção de bens e serviços e de reparação e manutenção,0.6,2.5,1.5,0.8,1.2,1.7
Membros das forças armadas e auxiliares,0.7,2.6,1.6,1,2.1,1.3
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas com ocupação maldefinida.,,,,,,
