"Tabela 1.1.17.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo os grupamentos de atividade do trabalho principal  -  2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grupamentos de atividade do trabalho principal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.4,1.5,1.1,0.6,1,1.2
Agrícola,2.6,6.7,5,4.8,4.3,5.6
Indústria,0.7,4.3,2.3,0.8,1.2,2.1
Indústria de transformação,0.7,4.8,2.4,0.8,1.2,2.1
Construção,1.1,3.2,2.3,1.6,2.6,2.4
Comércio e reparação,0.4,1.6,1.1,0.7,0.8,1
Alojamento e alimentação,1,3,2.1,1.5,2.6,2.3
"Transporte, armazenagem e comunicação",0.8,3.1,2.1,1.1,2,2.2
Administração pública,0.7,1.8,1.6,1.1,1.5,1.6
"Educação, saúde e serviços sociais",0.4,1.7,1,0.5,0.7,0.9
Serviços domésticos,1.3,3.5,2.6,2,3.1,3.5
"Outros serviços coletivos, sociais e pessoais",0.7,2.5,1.7,1,1.7,1.5
Outras atividades,0.4,1.6,0.9,0.6,0.8,0.9
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas com atividade maldefinida.,,,,,,
