"Tabela 1.1.2.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.1.2.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de idade,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.4,1.4,1,0.6,1,1.2,Total,0,0,0,0,0,0,Total,0.4,1.3,1,0.5,1,1.1
10 a 14 anos,0.9,2.5,1.6,1.6,2,2.4,10 a 14 anos,0.9,2,1.4,1.6,2,2.2,10 a 14 anos,0.6,2.5,1.5,0.8,1.3,1.5
15 a 17 anos,1,2.5,1.7,1.7,2.2,2.5,15 a 17 anos,0.9,2.3,1.7,1.7,2.4,2.7,15 a 17 anos,0.5,1.8,1.2,0.6,0.8,1
18 ou 19 anos,1.1,3,2.2,1.9,2.9,3.4,18 ou 19 anos,1.1,2.7,2.1,1.8,2.9,3.2,18 ou 19 anos,0.5,2.1,1.2,0.7,1.1,1.5
20 a 24 anos,0.9,2.3,1.6,1.5,2.2,2.3,20 a 24 anos,0.8,1.9,1.4,1.4,2,2.1,20 a 24 anos,0.4,1.6,1.1,0.6,0.8,1
25 a 29 anos,0.9,2.4,1.8,1.4,2.1,2.5,25 a 29 anos,0.8,2.1,1.5,1.4,1.9,2.2,25 a 29 anos,0.5,1.6,1.3,0.6,1,1.1
30 a 34 anos,0.9,2.6,1.9,1.5,2.3,2.5,30 a 34 anos,0.9,2.2,1.6,1.5,1.9,2.4,30 a 34 anos,0.5,1.9,1.5,0.7,1.3,1.3
35 a 39 anos,1,2.5,2,1.5,2.3,2.6,35 a 39 anos,0.8,2.1,1.7,1.4,1.9,2.3,35 a 39 anos,0.6,1.9,1.5,0.9,1.3,1.6
40 a 44 anos,1,3,2.5,1.6,2.4,2.8,40 a 44 anos,0.9,2.4,2.1,1.4,2.1,2.5,40 a 44 anos,0.7,2.4,2,1,1.7,1.9
45 a 49 anos,1.2,3.4,2.7,1.9,2.6,3.3,45 a 49 anos,1.1,3,2.3,1.7,2.4,2.8,45 a 49 anos,0.9,2.9,2.3,1.3,1.9,2.5
50 a 54 anos,1.4,4.3,3.2,2.1,3,3.9,50 a 54 anos,1.3,4,2.9,2,2.7,3.7,50 a 54 anos,1,3.6,2.8,1.4,2.3,2.8
55 a 59 anos,1.7,5.2,3.7,2.6,3.6,4.5,55 a 59 anos,1.6,4.9,3.5,2.4,3.4,4.2,55 a 59 anos,1.4,4.4,3.4,1.9,2.9,3.6
60 anos ou mais,1.9,6.1,4.2,2.8,3.7,5.2,60 anos ou mais,1.9,5.8,4,2.7,3.5,5,60 anos ou mais,1.7,5.9,4,2.3,3.5,4.7
Homens,0.5,1.5,1.1,0.6,1.1,1.3,Homens,0,0,0,0,0,0,Homens,0.4,1.5,1.1,0.6,1,1.2
10 a 14 anos,1.2,3.3,2.1,2.1,2.8,3.3,10 a 14 anos,1.2,2.9,1.9,2.1,2.6,3.1,10 a 14 anos,0.8,3,1.8,1,1.7,1.9
15 a 17 anos,1.3,3.4,2.5,2.3,3.1,3.8,15 a 17 anos,1.3,3.1,2.2,2.3,3.1,3.7,15 a 17 anos,0.7,2.5,1.7,0.9,1,1.5
18 ou 19 anos,1.6,4.3,3,2.5,4,4.3,18 ou 19 anos,1.5,3.9,2.9,2.5,4,4.1,18 ou 19 anos,0.7,3.1,1.8,0.9,1.4,1.5
20 a 24 anos,1.1,3.1,2.2,1.9,2.8,2.9,20 a 24 anos,1,2.7,1.9,1.8,2.6,2.6,20 a 24 anos,0.6,2.1,1.5,0.7,1.1,1.4
25 a 29 anos,1.2,3.1,2.3,1.9,2.8,3.4,25 a 29 anos,1.1,2.7,2.1,1.8,2.6,3.1,25 a 29 anos,0.6,2.1,1.7,0.8,1.3,1.5
30 a 34 anos,1.2,3.1,2.5,1.9,2.8,3.2,30 a 34 anos,1.1,2.8,2.2,1.9,2.6,3.1,30 a 34 anos,0.7,2.3,2,0.9,1.7,1.6
35 a 39 anos,1.3,3.3,2.7,2,2.9,3.5,35 a 39 anos,1.2,3,2.5,1.9,2.5,3.2,35 a 39 anos,0.8,2.6,2,1.2,1.7,2.2
40 a 44 anos,1.4,3.8,3.4,2.1,3.3,3.5,40 a 44 anos,1.3,3.5,3,2,3.1,3.4,40 a 44 anos,1,3.2,2.7,1.4,2.3,2.3
45 a 49 anos,1.6,4.5,3.7,2.6,3.3,4.2,45 a 49 anos,1.5,4.2,3.4,2.4,3.1,3.8,45 a 49 anos,1.2,4,3.2,1.6,2.4,3.2
50 a 54 anos,1.9,5.5,4.2,2.8,4.1,5.2,50 a 54 anos,1.8,5.1,3.9,2.6,3.8,4.9,50 a 54 anos,1.4,5.1,3.9,1.9,3,3.7
55 a 59 anos,2.2,6.6,5,3.3,4.5,6.1,55 a 59 anos,2.1,6.3,4.8,3.1,4.3,5.8,55 a 59 anos,1.8,5.8,4.7,2.5,3.7,5
60 anos ou mais,2.2,7.3,5.1,3.2,4.1,6.1,60 anos ou mais,2.1,7.1,4.8,3,4,5.8,60 anos ou mais,2,7.2,4.9,2.7,3.9,5.8
Mulheres,0.4,1.4,1.1,0.7,1.1,1.3,Mulheres,0,0,0,0,0,0,Mulheres,0.4,1.3,1,0.6,1,1.1
10 a 14 anos,1.2,3,2.3,2.1,2.6,3.2,10 a 14 anos,1.1,2.6,2.1,1.9,2.6,3,10 a 14 anos,0.7,2.8,1.7,0.9,1.6,1.7
15 a 17 anos,1.3,3.4,2.3,2.3,3.2,3.5,15 a 17 anos,1.3,3.1,2.2,2.2,3.1,3.5,15 a 17 anos,0.5,1.8,1.3,0.7,1.1,1.2
18 ou 19 anos,1.6,3.9,2.8,2.7,4.1,4.9,18 ou 19 anos,1.5,3.8,2.6,2.7,3.9,4.7,18 ou 19 anos,0.6,2.3,1.4,0.9,1.5,2.1
20 a 24 anos,1.1,2.8,2.1,1.9,3,3.1,20 a 24 anos,1,2.4,1.9,1.8,2.8,2.8,20 a 24 anos,0.5,1.8,1.1,0.7,1,1.2
25 a 29 anos,1.1,3,2.2,1.8,2.7,3.1,25 a 29 anos,1.1,2.7,2,1.8,2.5,3,25 a 29 anos,0.5,2,1.5,0.7,1.2,1.2
30 a 34 anos,1.1,3.2,2.3,1.8,2.8,3.1,30 a 34 anos,1.1,3,2.1,1.7,2.5,2.9,30 a 34 anos,0.6,2.2,1.6,0.8,1.5,1.4
35 a 39 anos,1.2,3,2.4,1.9,2.8,3,35 a 39 anos,1.1,2.6,2.1,1.8,2.6,2.7,35 a 39 anos,0.7,2.1,1.8,1,1.6,1.7
40 a 44 anos,1.3,3.6,2.9,1.9,2.8,3.4,40 a 44 anos,1.2,3.1,2.5,1.8,2.6,3.1,40 a 44 anos,0.8,2.8,2.2,1.1,1.8,2.3
45 a 49 anos,1.4,4.6,3.2,2.2,3.2,3.8,45 a 49 anos,1.3,4.2,2.8,2.1,3,3.4,45 a 49 anos,1.1,3.7,2.7,1.5,2.4,3
50 a 54 anos,1.7,5.4,3.8,2.5,3.2,4.6,50 a 54 anos,1.6,5.1,3.6,2.3,3,4.4,50 a 54 anos,1.2,4.3,3.2,1.6,2.6,3.2
55 a 59 anos,2.1,6.5,4.7,3.1,4.3,5.5,55 a 59 anos,2,6.3,4.5,3,4.1,5.1,55 a 59 anos,1.6,5.3,4.1,2.3,3.4,4.4
60 anos ou mais,2.2,7.3,4.7,3.2,4.4,6,60 anos ou mais,2.1,7,4.5,3,4.1,5.8,60 anos ou mais,1.9,6.9,4.3,2.6,4,5.3
,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
