"Tabela 1.1.21a - Coeficientes de variação das estimativas de rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões e os grupos de anos de estudo - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grandes Regiões e grupos de anos de estudo,Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (%) (1),,,Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (%) (1),,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil (2),0.9,1.1,0.6,0.6,0.7,0.9
Sem instrução e menos de 1 ano,0.8,4.1,0.7,0.9,3,1.2
1 a 3 anos,0.8,1.7,0.9,1.3,1.9,1.1
4 a 7 anos,0.7,1,0.7,1,1.1,1.1
8 a 10 anos,0.8,1,1.1,0.9,0.9,1.5
11 a 14 anos,0.7,0.8,1.2,0.5,0.7,1.1
15 anos ou mais,1.5,1.5,3.3,0.5,0.4,1.6
Norte (2),1.9,2.6,1.5,1.8,2.1,2
Sem instrução e menos de 1 ano,1.6,6.6,1.6,4,8.2,3.8
1 a 3 anos,2,3.5,2.4,4,5.8,4.3
4 a 7 anos,1.6,2.3,2,1.7,3.7,4.8
8 a 10 anos,1.9,2.5,2.2,2.7,2.9,3.3
11 a 14 anos,1.7,1.9,2.4,1.9,1.5,3.4
15 anos ou mais,4.1,4.1,7.3,1.4,1.1,0.4
Nordeste (2),1.6,2.2,1,-,-,0
Sem instrução e menos de 1 ano,1,6,1,2.2,8.3,2.3
1 a 3 anos,1.2,3.4,1.2,2.9,3.2,2.8
4 a 7 anos,1.2,1.9,1.3,-,-,3
8 a 10 anos,1.5,1.8,1.9,2.5,2.4,4.6
11 a 14 anos,1.6,1.7,2.1,-,-,3.5
15 anos ou mais,3.2,3.2,8.5,0.4,1.1,4.1
Sudeste (2),1.6,1.9,1,0.6,0.8,1.9
Sem instrução e menos de 1 ano,1.7,7.6,1.4,2,4,2.3
1 a 3 anos,1.3,2.7,1.4,1.4,2.4,1.7
4 a 7 anos,1.1,1.7,1.1,1.1,1.2,1.3
8 a 10 anos,1.3,1.5,1.7,1.1,1.2,1.1
11 a 14 anos,1.2,1.2,2.1,0.7,0.4,1.2
15 anos ou mais,2.3,2.4,5.2,0.6,0.5,1.8
Sul (2),1.6,1.8,1.6,-,-,0.8
Sem instrução e menos de 1 ano,1.9,5.6,1.8,1.3,4.5,2
1 a 3 anos,2.4,3.6,2.9,0.8,2.9,1.5
4 a 7 anos,1.5,1.9,1.8,6,1.5,1.4
8 a 10 anos,2.1,2.5,2.6,-,1.3,1.6
11 a 14 anos,1.3,1.4,2.5,0.8,0.8,1.7
15 anos ou mais,2.2,2.2,6.8,0.6,0.8,2.7
Centro-Oeste (2),2.5,2.9,1.7,1,1.1,2.5
Sem instrução e menos de 1 ano,3.1,8.7,3.2,1.8,5.2,2.5
1 a 3 anos,2.6,5.9,2.3,2.2,4.2,2.9
4 a 7 anos,1.8,2.5,1.9,1.4,2,2.1
8 a 10 anos,2,2.3,2.8,1.6,1.9,2.3
11 a 14 anos,2.1,2.2,3.3,1.1,0.6,2.1
15 anos ou mais,3.8,3.8,8.6,0.8,0.7,4.2
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as informações das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
(1) Exclusive as informações das pessoas sem declaração de rendimento mensal domiciliar per capita. (2) Inclusive as informações das pessoas com anos de estudo não determinados.,,,,,,
