"Tabela 1.1.3.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.5,1.1,0.8,1,1.5,2,Total,0,0,0,0,0,0
10 a 14 anos,1.6,2.8,2.4,3.6,6.3,6.3,10 a 14 anos,1.4,2.4,2,3.3,5.9,5.3
15 a 17 anos,2.4,4.7,3.6,5.4,7.7,8.5,15 a 17 anos,2.2,4.4,3.3,5.2,7.5,7.6
18 ou 19 anos,2.8,5.6,4,6.8,8.8,11.9,18 ou 19 anos,2.6,5.3,3.7,6.5,8.7,11.3
20 a 24 anos,1.8,3.6,2.8,4.4,5.3,6.5,20 a 24 anos,1.7,3.1,2.5,4,4.8,5.7
25 a 29 anos,1.6,3.1,2.5,3.8,5.1,5.5,25 a 29 anos,1.5,2.8,2.3,3.3,4.9,4.8
30 a 34 anos,1.5,3,2.3,3.2,5.1,4.4,30 a 34 anos,1.3,2.7,2.1,2.9,4.5,3.8
35 a 39 anos,1.3,2.4,1.9,2.8,4.1,4.7,35 a 39 anos,1.1,2.2,1.7,2.4,3.7,3.9
40 a 44 anos,1.2,2.5,1.7,2.6,3.6,3.7,40 a 44 anos,1.1,2.3,1.7,2.3,3.2,2.9
45 a 49 anos,1.2,2.5,1.7,2.3,3.6,3.6,45 a 49 anos,1,2.3,1.6,2,3,3
50 a 54 anos,1,2.4,1.7,2,2.7,3.2,50 a 54 anos,1,2.4,1.6,1.9,2.3,3
55 a 59 anos,1.1,3.1,2,2,2.9,3.4,55 a 59 anos,1.1,3,2,1.8,2.6,3.2
60 anos ou mais,0.8,2,1.3,1.3,1.9,2.4,60 anos ou mais,0.7,2,1.2,1.2,1.6,2.2
Homens,0.6,1.2,0.9,1.2,1.7,2.1,Homens,0,0,0,0,0,0
10 a 14 anos,1.9,3.2,2.8,4.5,7.5,7.6,10 a 14 anos,1.7,2.8,2.4,4.2,7,6.7
15 a 17 anos,2.9,6.1,4.5,6.8,9.2,10.6,15 a 17 anos,2.8,5.8,4.2,6.6,8.9,9.8
18 ou 19 anos,3.5,7.4,5.3,7.9,11.2,11.9,18 ou 19 anos,3.4,6.9,5,7.7,11.1,11.3
20 a 24 anos,2.3,4.5,3.6,5,7,8.5,20 a 24 anos,2.1,4.1,3.3,4.7,6.4,7.7
25 a 29 anos,2,4.1,3,4.6,6.2,6.5,25 a 29 anos,1.9,3.9,2.8,4.2,5.9,6
30 a 34 anos,1.8,3.6,2.9,3.8,5.9,5.2,30 a 34 anos,1.7,3.3,2.7,3.5,5.4,4.6
35 a 39 anos,1.6,3.6,2.5,3.4,4.8,5.5,35 a 39 anos,1.5,3.3,2.3,3.1,4.4,4.8
40 a 44 anos,1.5,3.2,2.3,3.2,4.6,4.2,40 a 44 anos,1.4,3.1,2.3,2.9,4.2,3.5
45 a 49 anos,1.5,3.3,2.4,2.8,4.2,4.5,45 a 49 anos,1.4,3.3,2.3,2.5,3.7,4.1
50 a 54 anos,1.4,3.5,2.4,2.6,3.5,3.7,50 a 54 anos,1.4,3.4,2.4,2.5,3.1,3.7
55 a 59 anos,1.5,3.8,2.6,2.7,3.9,4.7,55 a 59 anos,1.4,3.8,2.6,2.5,3.5,4.6
60 anos ou mais,0.9,2.3,1.6,1.6,2.2,3,60 anos ou mais,0.8,2.2,1.5,1.4,1.9,2.5
Mulheres,0.5,1.2,0.9,1,1.5,2.1,Mulheres,0,0,0,0,0,0
10 a 14 anos,2,3.8,2.9,5,8.2,7.7,10 a 14 anos,1.8,3.3,2.5,4.7,7.8,6.7
