"Tabela 1.1.38a - Coeficientes de variação das estimativas de rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (%),,,Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (%),,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,0.9,1.1,0.6,0.6,0.7,0.9
Norte,1.9,2.6,1.5,1.8,2.1,2.5
Rondônia,3.9,5,3.5,3.6,3.1,5
Acre,5.9,7.6,4.4,6.2,6,7.9
Amazonas,4.5,5.6,4.2,4.8,4.6,9.1
Roraima,9.8,11,6.8,7.1,7.8,10.3
Pará,2.6,3.6,2.3,4.7,-,2.9
Região Metropolitana de Belém,4.7,5.5,3.4,3.3,9.2,5.4
Amapá,7.5,8,7.3,3.2,-,12.6
Tocantins,8.5,12.6,3.9,3.9,4.7,4.7
Nordeste,1.6,2.2,1,7.5,6.4,0.3
Maranhão,6.5,10.1,4.5,7.2,5.6,10.1
Piauí,6.8,10,3.5,6.7,6.7,7.1
Ceará,3,4,2.1,3.4,3.3,1.3
Região Metropolitana de Fortaleza,3.8,4.7,2.3,3.2,3.4,4.2
Rio Grande do Norte,6.1,7.7,3.7,4.7,5.7,6.9
Paraíba,8.1,9.4,4.5,8.4,9.1,8
Pernambuco,4,5.3,2.2,4,4.7,4.7
Região Metropolitana de Recife,4.9,6,2.8,2.9,3.3,42.6
Alagoas,5.5,8.3,3.5,8.6,11.7,5.2
Sergipe,4.2,5.8,2.7,-,0.9,5.2
Bahia,3.1,4,2.1,-,-,3.1
Região Metropolitana de Salvador,5.4,6.2,3.1,-,-,3.6
Sudeste,1.6,1.9,1,0.8,0.9,24.8
Minas Gerais,2.3,2.9,1.7,4.6,1.2,-
Região Metropolitana de Belo Horizonte,4.7,5.3,3,1.8,2.1,4.5
Espírito Santo,4.1,5.2,3.5,4.6,-,-
Rio de Janeiro,3.7,4.4,2,2,2.1,4.6
Região Metropolitana do Rio de Janeiro,4.6,5.2,2.6,2,1.8,1.9
São Paulo,2.3,2.7,1.5,2,0.9,0.3
Região Metropolitana de São Paulo,3.7,4.1,2.7,1.6,1.7,0.6
Sul,1.6,1.8,1.6,-,-,1.2
Paraná,2.8,3.2,2.2,0.1,-,-
Região Metropolitana de Curitiba,4.8,5.3,3.7,2,2.3,3.1
Santa Catarina,3.6,3.8,3.4,-,-,4
Rio Grande do Sul,2.1,2.4,2.6,1.7,1.5,3.7
Região Metropolitana de Porto Alegre,3.3,3.6,2.5,1.5,1.5,2.2
Centro-Oeste,2.5,2.9,1.7,1.3,1.3,2.5
Mato Grosso do Sul,5.9,7.1,3.7,-,-,-
Mato Grosso,4.5,5.7,3.2,5.2,-,-
Goiás,2.8,3.3,2.4,-,-,-
Distrito Federal,6.2,6.2,5.6,2.3,2.6,3.8
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
