"Tabela 1.1.4.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.4.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (%),,,,,,"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
Utilizaram,0.4,1.4,1,0.6,1,1.2,Utilizaram,0.4,1.3,1,0.5,1,1.1
Não utilizaram,0.5,1.1,0.8,1,1.5,2,Não utilizaram,0.5,1.1,0.8,1,1.5,2
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
Utilizaram,0.5,1.5,1.1,0.6,1.1,1.3,Utilizaram,0.4,1.5,1.1,0.6,1,1.2
Não utilizaram,0.6,1.2,0.9,1.2,1.7,2.1,Não utilizaram,0.6,1.2,0.9,1.1,1.6,2.1
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
Utilizaram,0.4,1.4,1.1,0.7,1.1,1.3,Utilizaram,0.4,1.3,1,0.6,1,1.1
Não utilizaram,0.5,1.2,0.9,1,1.5,2.1,Não utilizaram,0.5,1.2,0.8,1,1.5,2.1
Urbana,0.4,1.5,1.2,0.5,1.2,1,Urbana,0,0,0,0,0,0
Utilizaram,0.5,1.7,1.4,0.7,1.5,1.5,Utilizaram,0.3,1.2,0.8,0.5,0.8,0.9
Não utilizaram,0.7,2.3,1.6,1.1,1.8,2,Não utilizaram,0.6,1.5,0.9,1,1.5,1.9
Homens,0.5,1.5,1.2,0.6,1.2,1.1,Homens,0,0,0,0,0,0
Utilizaram,0.6,1.9,1.5,0.8,1.6,1.6,Utilizaram,0.4,1.4,0.9,0.5,0.8,1
Não utilizaram,0.8,2.4,1.7,1.2,1.9,2.3,Não utilizaram,0.6,1.6,1.1,1.1,1.6,2.1
Mulheres,0.5,1.5,1.2,0.6,1.2,1,Mulheres,0,0,0,0,0,0
Utilizaram,0.6,1.8,1.4,0.8,1.5,1.5,Utilizaram,0.4,1.2,0.8,0.5,0.8,1
Não utilizaram,0.8,2.3,1.6,1.1,1.9,2.1,Não utilizaram,0.6,1.5,1,1,1.5,2
Rural,2.4,4.4,3.2,7.3,7.2,8.4,Rural,0,0,0,0,0,0
Utilizaram,3.5,7.2,4.7,9.2,8.3,9.8,Utilizaram,2.1,4.9,3,4.5,4.1,5.1
Não utilizaram,2.4,4.3,3.2,7.3,7.5,8.7,Não utilizaram,0.7,1,0.7,2.2,2.1,2.2
Homens,2.4,4.4,3.2,7.4,7.3,8.5,Homens,0,0,0,0,0,0
Utilizaram,3.6,7.5,5,9.2,8.3,10.6,Utilizaram,2.2,5.5,3.4,4.8,4,5.8
Não utilizaram,2.4,4.3,3.1,7.5,7.5,8.6,Não utilizaram,0.7,1,0.7,2.2,2,2.2
Mulheres,2.5,4.6,3.3,7.3,7.3,8.4,Mulheres,0,0,0,0,0,0
Utilizaram,3.6,7.5,4.9,9.6,8.8,9.8,Utilizaram,2.2,5,3.2,4.8,4.7,5.5
Não utilizaram,2.4,4.5,3.3,7.1,7.6,9,Não utilizaram,0.8,1.2,0.9,2.5,2.4,2.8
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
