"Tabela 1.1.5.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.5.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade (%),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.1,2.4,1.5,2.2,3.8,3.3,Sem instrução e menos de 1 ano,1.1,2.4,1.5,2.2,3.8,3.3
1 a 3 anos,0.8,1.8,1.4,1.7,2.4,2.3,1 a 3 anos,0.9,1.9,1.4,1.7,2.3,2.3
4 a 7 anos,0.5,1.1,0.8,0.9,1.4,1.5,4 a 7 anos,0.5,1.1,0.8,0.9,1.4,1.5
8 a 10 anos,0.6,1.5,1,1,1.3,1.4,8 a 10 anos,0.6,1.4,1,1,1.4,1.5
11 a 14 anos,0.5,1.3,1.1,0.7,1.3,1.4,11 a 14 anos,0.5,1.2,1.1,0.7,1.3,1.3
15 anos ou mais,1.5,3.5,3,2.4,3,3.6,15 anos ou mais,1.5,3.4,3,2.4,2.9,3.6
Não determinados,6.3,14,11.8,13.6,12.4,21.6,Não determinados,6.3,14,11.8,13.6,12.4,21.6
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.3,2.8,1.7,2.8,4.9,4,Sem instrução e menos de 1 ano,1.2,2.8,1.7,2.7,4.9,3.9
1 a 3 anos,1.1,2.2,1.6,2.3,2.9,2.6,1 a 3 anos,1,2.2,1.6,2.2,2.8,2.5
4 a 7 anos,0.6,1.3,1,1.1,1.7,1.9,4 a 7 anos,0.6,1.3,0.9,1.1,1.6,1.8
8 a 10 anos,0.7,1.9,1.4,1.2,1.7,1.8,8 a 10 anos,0.7,1.8,1.4,1.1,1.6,1.7
11 a 14 anos,0.6,1.6,1.3,1,1.5,1.7,11 a 14 anos,0.6,1.5,1.3,0.9,1.5,1.7
15 anos ou mais,1.7,4.3,3.8,2.7,3.4,4.2,15 anos ou mais,1.7,4.3,3.8,2.8,3.4,4.2
Não determinados,8.2,14.9,14.8,19.7,16.4,30.3,Não determinados,8.2,14.9,14.8,19.7,16.4,30.3
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.2,2.9,1.8,2.4,3.8,3.9,Sem instrução e menos de 1 ano,1.2,2.9,1.7,2.4,3.8,3.8
1 a 3 anos,1,2.3,1.7,1.8,2.6,3.3,1 a 3 anos,1,2.4,1.7,1.8,2.6,3.3
4 a 7 anos,0.6,1.4,1,1,1.5,1.9,4 a 7 anos,0.6,1.4,1,1,1.5,1.8
8 a 10 anos,0.7,1.7,1.2,1.2,1.7,2,8 a 10 anos,0.7,1.7,1.2,1.2,1.7,2.1
11 a 14 anos,0.6,1.4,1.1,0.9,1.5,1.6,11 a 14 anos,0.5,1.3,1.1,0.8,1.4,1.5
15 anos ou mais,1.4,3.5,3,2.4,3,3.7,15 anos ou mais,1.4,3.4,2.9,2.3,2.9,3.5
Não determinados,8.3,17.7,15.6,18.9,16.7,25.3,Não determinados,8.3,17.8,15.6,18.9,16.7,25.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
