"Tabela 1.1.7.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.7.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de anos de estudo,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.5,1.1,0.8,1,1.5,2,Total,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.1,2.5,1.6,2.3,3.8,3.5,Sem instrução e menos de 1 ano,0.9,2.4,1.3,1.8,3.4,3
1 a 3 anos,1,2.2,1.6,2.1,3,3.1,1 a 3 anos,0.8,1.9,1.3,1.8,2.2,2.3
4 a 7 anos,0.7,1.7,1.1,1.3,2.2,2.7,4 a 7 anos,0.5,1.2,0.9,1,1.5,1.6
8 a 10 anos,1,2.6,1.9,1.9,2.5,3.2,8 a 10 anos,0.9,2.3,1.8,1.6,2.5,2.4
11 a 14 anos,1.1,2.7,2,2,2.8,3.4,11 a 14 anos,1,2.6,1.9,1.7,2.7,3.1
15 anos ou mais,2.8,6.5,5.3,5,6.6,7.7,15 anos ou mais,2.8,6.4,5.2,4.9,6.5,7.6
Não determinados,10,20.1,16.4,26.2,22.2,38.4,Não determinados,10,19.9,16.4,26.2,22.1,38.6
Homens,0.6,1.2,0.9,1.2,1.7,2.1,Homens,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.3,2.9,1.8,2.9,5.1,4.2,Sem instrução e menos de 1 ano,1.1,2.7,1.5,2.4,4.5,3.4
1 a 3 anos,1.2,2.5,1.9,2.8,3.6,3.4,1 a 3 anos,1,2.2,1.6,2.4,2.9,2.6
4 a 7 anos,0.9,2,1.5,1.6,2.5,3.1,4 a 7 anos,0.7,1.5,1.2,1.2,1.7,2.1
8 a 10 anos,1.4,3.2,2.8,2.3,3.1,3.7,8 a 10 anos,1.2,2.9,2.6,2.1,3,3.2
11 a 14 anos,1.5,3.4,2.7,2.6,3.6,4.2,11 a 14 anos,1.4,3.2,2.6,2.3,3.6,4
15 anos ou mais,4.2,9.1,8.8,7.2,9.2,10.8,15 anos ou mais,4.2,9,8.8,7.2,8.9,10.5
Não determinados,12.5,20.8,18.9,45.9,27.7,61.8,Não determinados,12.5,20.6,19,46.1,27.7,62.2
Mulheres,0.5,1.2,0.9,1,1.5,2.1,Mulheres,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.2,3,1.8,2.5,3.9,4.1,Sem instrução e menos de 1 ano,1,2.9,1.5,2.1,3.5,3.7
1 a 3 anos,1.2,2.7,2,2.3,3.2,4.1,1 a 3 anos,1,2.4,1.7,2,2.5,3.4
4 a 7 anos,0.8,2.1,1.3,1.4,2.3,3.1,4 a 7 anos,0.7,1.7,1.1,1.2,1.8,2.1
8 a 10 anos,1.2,3,2.1,2.3,3.1,3.9,8 a 10 anos,1.1,2.6,2,2,3,3.2
11 a 14 anos,1.3,2.9,2.2,2.4,3.4,4.1,11 a 14 anos,1.2,2.8,2.1,2.1,3.2,3.6
15 anos ou mais,3.2,7.3,5.8,5.7,7.5,8.8,15 anos ou mais,3.1,7.2,5.8,5.6,7.3,8.7
Não determinados,12.5,23.7,22.3,31.8,29.5,38,Não determinados,12.4,23.6,22.3,31.8,29.3,38.2
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
