"Tabela 1.1.9.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.9.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.1.9.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e nível de instrução,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e nível de instrução,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e nível de instrução,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.4,1.4,1,0.6,1,1.2,Total,0,0,0,0,0,0,Total,0.4,1.3,1,0.5,1,1.1
Sem instrução,3.4,7.6,6,6,7.5,8.1,Sem instrução,3.4,7.3,6,6,7.6,8,Sem instrução,3.2,7.6,6.1,5.4,6.1,7.5
Fundamental incompleto,0.8,2.3,1.4,1.3,1.8,2.1,Fundamental incompleto,0.7,1.9,1.2,1.3,1.8,1.9,Fundamental incompleto,0.7,2.4,1.4,1.1,1.8,2
Fundamental completo,1,3,2.1,1.5,2.3,2.7,Fundamental completo,1,2.6,2,1.5,2.2,2.6,Fundamental completo,0.7,2.4,1.6,1,1.5,1.8
Médio incompleto,1,2.8,1.8,1.7,2.5,2.5,Médio incompleto,1,2.4,1.8,1.7,2.5,2.5,Médio incompleto,0.5,1.7,1.2,0.7,1.1,1.4
Médio completo,0.6,1.8,1.4,0.9,1.6,1.7,Médio completo,0.5,1.2,1,0.8,1.2,1.4,Médio completo,0.3,1.2,0.8,0.4,0.7,0.9
Superior incompleto,1.3,3.2,2.9,2,3.1,3.1,Superior incompleto,1.1,3.1,2.5,1.8,2.7,2.7,Superior incompleto,0.3,0.9,0.6,0.4,0.6,0.6
Superior completo,1.5,3.7,3.2,2.4,3.1,3.7,Superior completo,1.4,3.4,2.8,2.2,2.7,3.2,Superior completo,0.2,0.9,0.6,0.3,0.4,0.5
