"Tabela 1.1.17.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.17.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos de atividade do trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,,"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos de atividade do trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,0.8,0.6,0.4,0.8,0.7,Total,0,0,0,0,0,0
Agrícola,2.2,4.2,3,5.9,6.4,5.7,Agrícola,2.1,3.9,2.9,5.8,6.1,5.6
Indústria,1.3,4.7,3.2,2,3,4,Indústria,1.3,4.5,3,2,2.8,3.9
Indústria de transformação,1.4,5.3,3.3,2,3.1,4.1,Indústria de transformação,1.4,5.1,3.2,2,2.9,4
Construção,1.1,2.7,2.2,1.9,2.7,2.8,Construção,1.1,2.9,2.2,1.9,2.9,2.9
Comércio e reparação,0.9,2.2,1.7,1.5,2.1,2.3,Comércio e reparação,0.8,2.2,1.7,1.4,2.1,2.2
Alojamento e alimentação,1.6,3.8,2.6,2.6,4.9,3.8,Alojamento e alimentação,1.5,3.7,2.6,2.6,4.9,3.8
