"Tabela 1.1.18.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.18.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,,"Utilização da Internet, no período de referência dos últimos três meses e grupamentos de atividade do trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,0.8,0.6,0.4,0.8,0.7,Total,0,0,0,0,0,0
Empregados e trabalhador domésticos,0.4,1.1,0.9,0.5,1,0.9,Empregados e trabalhador domésticos,0.3,1.1,0.8,0.5,0.9,0.7
Com carteira de trabalho assinada,0.6,2,1.5,0.9,1.4,1.5,Com carteira de trabalho assinada,0.6,2,1.5,0.8,1.3,1.4
Militares e funcionários públicos estatutários,1.3,3.1,2.5,2.4,3.2,3.3,Militares e funcionários públicos estatutários,1.3,3.1,2.5,2.4,3.2,3.2
Outros sem carteira de trabalho assinada,0.8,1.8,1.3,1.5,2,2.2,Outros sem carteira de trabalho assinada,0.8,1.9,1.2,1.4,2.1,2.2
Empregados,0.4,1.1,1,0.6,1,1,Empregados,0.4,1.1,0.9,0.5,0.9,0.9
Com carteira de trabalho assinada,0.6,2,1.6,0.9,1.4,1.5,Com carteira de trabalho assinada,0.6,2,1.5,0.9,1.3,1.4
Militares e funcionários públicos estatutários,1.3,3.1,2.5,2.4,3.2,3.3,Militares e funcionários públicos estatutários,1.3,3.1,2.5,2.4,3.2,3.2
Outros sem carteira de trabalho assinada,0.9,2,1.5,1.7,2.6,2.6,Outros sem carteira de trabalho assinada,0.9,2,1.4,1.7,2.5,2.6
Conta própria,0.7,2,1.4,1.2,2.1,2.2,Conta própria,0.7,1.9,1.3,1.1,2,1.9
Empregadores,2.1,5.6,4.8,3.5,4.4,5.1,Empregadores,2.1,5.5,4.7,3.4,4.2,5
Não remunerados,3.2,6.9,5.1,7.8,7.6,8.4,Não remunerados,3.1,6.7,5,7.6,7.4,8.4
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,4,9.9,6.1,8.5,9.6,11,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3.9,9.7,5.9,8.3,9.3,10.8
Utilizaram,0.5,1.6,1.3,0.7,1.3,1.5,Utilizaram,0,0,0,0,0,0
Empregados e trabalhador domésticos,0.5,1.7,1.4,0.7,1.4,1.5,Empregados e trabalhador domésticos,0.2,0.7,0.5,0.4,0.6,0.7
Com carteira de trabalho assinada,0.7,2.3,1.8,1,1.7,1.9,Com carteira de trabalho assinada,0.5,1.7,1.1,0.7,1,1.4
Militares e funcionários públicos estatutários,1.5,3.4,3,2.6,3.3,3.5,Militares e funcionários públicos estatutários,1.4,3,2.7,2.4,3.1,3.2
Outros sem carteira de trabalho assinada,1,2.4,1.9,1.6,2.4,2.7,Outros sem carteira de trabalho assinada,0.9,2.1,1.6,1.6,2.2,2.4
Empregados,0.6,1.7,1.4,0.8,1.4,1.5,Empregados,0.3,0.8,0.6,0.4,0.6,0.7
Com carteira de trabalho assinada,0.7,2.3,1.9,1,1.7,1.9,Com carteira de trabalho assinada,0.5,1.7,1.2,0.7,1.1,1.4
Militares e funcionários públicos estatutários,1.5,3.4,3,2.6,3.3,3.5,Militares e funcionários públicos estatutários,1.4,3,2.7,2.4,3.1,3.2
Outros sem carteira de trabalho assinada,1.1,2.6,2,1.8,2.7,2.9,Outros sem carteira de trabalho assinada,1,2.3,1.7,1.8,2.4,2.6
Conta própria,1,2.6,1.9,1.6,2.2,3,Conta própria,0.8,2.1,1.6,1.3,2,2.4
Empregadores,2.4,6.7,5.7,3.9,4.8,5.9,Empregadores,2.2,6.3,5.1,3.7,4.3,5.5
Não remunerados,3.5,8.6,6,7,8.6,9.7,Não remunerados,3.5,8.4,5.9,7,8.5,9.7
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,5.9,12.5,10.1,12.5,13.3,14.4,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,6,12.3,10.2,12.6,13.5,14.7
Não utilizaram,0.8,1.6,1.3,1.6,2.2,2.6,Não utilizaram,0,0,0,0,0,0
Empregados e trabalhador domésticos,0.8,2.1,1.4,1.5,1.8,2.9,Empregados e trabalhador domésticos,0.7,2,1.4,1.1,2,1.6
Com carteira de trabalho assinada,1.2,3.6,2.2,2,2.5,3.1,Com carteira de trabalho assinada,1.2,3.6,2.4,1.9,2.6,2.5
Militares e funcionários públicos estatutários,2.8,6.7,4.7,5.5,7.5,10.5,Militares e funcionários públicos estatutários,2.8,7,4.6,5.4,7.7,9.6
Outros sem carteira de trabalho assinada,1.3,2.8,2,2.5,3.5,4.3,Outros sem carteira de trabalho assinada,1.1,2.6,1.8,2,3.5,3.3
Empregados,0.9,2.2,1.6,1.8,2.1,3.3,Empregados,0.8,2.1,1.5,1.4,2,2.1
Com carteira de trabalho assinada,1.3,3.8,2.3,2.2,2.6,3.2,Com carteira de trabalho assinada,1.3,3.8,2.5,2.1,2.7,2.7
Militares e funcionários públicos estatutários,2.8,6.7,4.7,5.5,7.5,10.5,Militares e funcionários públicos estatutários,2.8,7,4.6,5.4,7.7,9.6
Outros sem carteira de trabalho assinada,1.6,3.3,2.4,3.5,5.3,6,Outros sem carteira de trabalho assinada,1.4,3.1,2.2,2.9,4.9,5
Conta própria,1.2,2.8,1.9,2.3,3.9,3.4,Conta própria,0.9,2.4,1.6,1.6,2.6,2.8
Empregadores,3.3,7.4,6.8,5.9,7.9,8.2,Empregadores,3.3,7.3,6.8,5.9,8,9
Não remunerados,4.3,8,7.1,12.1,9.8,12,Não remunerados,4.1,7.6,6.8,11.4,8.7,11.4
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,4,10.7,6.1,8.5,9.5,11.9,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3.7,10.1,5.5,7.8,8.3,10.4
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
