"Tabela 1.1.19.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.19.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Pessoas de 10 anos ou mais de idade (%),,,,,,"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.1,0.2,0.2,0.1,0.2,0.2,Total (1),0,0,0,0,0,0
Sem rendimento (2),0.4,0.9,0.6,0.6,1,0.9,Sem rendimento (2),0.4,0.9,0.6,0.6,1,0.9
Até 1/2 salário mínimo,1.1,2.5,1.5,2.5,4.4,4,Até 1/2 salário mínimo,1.1,2.6,1.6,2.5,4.4,4
Mais de 1/2 a 1 salário mínimo,1,1.9,1.5,2.3,3,3.4,Mais de 1/2 a 1 salário mínimo,1,2,1.5,2.3,3,3.4
Mais de 1 a 2 salário mínimos,0.4,1.1,0.8,0.8,1,1.3,Mais de 1 a 2 salário mínimos,0.4,1.1,0.8,0.8,1,1.3
Mais de 2 a 3 salário mínimos,0.7,2.3,1.6,1.1,1.4,1.8,Mais de 2 a 3 salário mínimos,0.7,2.2,1.6,1,1.4,1.8
Mais de 3 a 5 salários mínimos,1,3.1,2.9,1.5,2.2,2.6,Mais de 3 a 5 salários mínimos,1,3.1,2.9,1.5,2.1,2.6
Mais de 5 a 10 salário mínimos,1.6,4.1,4.4,2.6,3,3.7,Mais de 5 a 10 salário mínimos,1.6,4,4.3,2.6,3,3.7
Mais de10 a 20 salário mínimos,2.9,8.2,6.7,4.4,5.9,6.5,Mais de10 a 20 salário mínimos,2.9,8.1,6.7,4.4,5.9,6.5
Mais de 20 salários mínimos,4.9,14.4,11.6,7.5,8.7,11,Mais de 20 salários mínimos,4.9,14.4,11.6,7.5,8.7,11
Utilizaram (1),0.4,1.4,1,0.6,1,1.2,Utilizaram (1),0,0,0,0,0,0
Sem rendimento (2),0.5,1.6,1.1,0.9,1.1,1.4,Sem rendimento (2),0.4,1,0.8,0.7,1.1,1.2
Até 1/2 salário mínimo,1.5,3.5,2.2,3.2,5.4,4.7,Até 1/2 salário mínimo,1.6,3.4,2.3,3.3,5.4,4.8
Mais de 1/2 a 1 salário mínimo,1.4,3.8,2.3,2.7,3.6,4.2,Mais de 1/2 a 1 salário mínimo,1.4,3.5,2.2,2.7,3.6,4
Mais de 1 a 2 salário mínimos,0.7,2,1.5,1.1,1.6,1.9,Mais de 1 a 2 salário mínimos,0.6,1.5,1.1,1,1.4,1.7
Mais de 2 a 3 salário mínimos,0.9,3,2.4,1.4,2,2.5,Mais de 2 a 3 salário mínimos,0.8,2.6,2,1.2,1.6,2.1
Mais de 3 a 5 salários mínimos,1.2,3.6,3.2,1.8,2.5,3,Mais de 3 a 5 salários mínimos,1.1,3.3,2.7,1.6,2.2,2.6
