"Tabela 1.1.23.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.23.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,0.1,0.4,0.5,0.2,0.5,0.6,0.2,0.4,0.5,Brasil,0,0.4,0.5,0,0.4,0.6,0,0.4,0.5
Norte,0.2,1.4,1.1,0.4,1.5,1.2,0.4,1.4,1.2,Norte,0,1.3,1.1,0,1.5,1.2,0,1.3,1.2
Rondônia,0.6,3.2,2.7,1.3,3.6,2.8,1.1,3.5,2.9,Rondônia,0,3,2.7,0,3.2,2.7,0,3,3
Acre,0.9,4.2,3.3,1.3,4.2,3.6,1.6,4.9,3.3,Acre,0,4.1,3.2,0,4.4,3.1,0,4.1,3.5
Amazonas,0.6,3,2.8,1,3.3,3.2,0.9,3.2,2.8,Amazonas,0,2.9,2.8,0,3.3,2.9,0,2.7,3
Roraima,0.9,3.5,6.3,2.2,3.9,7.3,1.9,4.1,6.7,Roraima,0,3.5,6.1,0,4,6.3,0,3.4,6.7
Pará,0.4,2.1,1.5,0.7,2.4,1.6,0.7,2.2,1.7,Pará,0,2,1.5,0,2.2,1.6,0,2,1.7
Região Metropolitana de Belém,0.4,1.7,2.9,1,2.1,3.5,0.9,2,2.9,Região Metropolitana de Belém,0,1.6,2.9,0,1.9,3.3,0,1.6,2.8
Amapá,1.3,7.7,7.3,2.1,7.7,9.5,2.4,8.3,6.3,Amapá,0,6.9,8,0,8,8.7,0,6.3,7.8
Tocantins,0.6,4.9,3.7,1.4,6.1,4.6,1.1,4.2,3.4,Tocantins,0,4.8,3.7,0,6.3,4.1,0,3.8,3.4
Nordeste,0.2,1,0.8,0.3,1.1,0.9,0.3,1.1,0.9,Nordeste,0,1,0.8,0,1.1,0.9,0,1,0.8
Maranhão,0.7,5.5,2.8,1,6.2,2.7,1.2,5.4,3.1,Maranhão,0,5.4,2.8,0,5.9,2.8,0,5.2,3
Piauí,0.5,5,3.2,1.4,6.2,3.8,1.2,4.6,3.3,Piauí,0,5,3.2,0,6.1,3.5,0,4.5,3
Ceará,0.4,2,1.4,0.7,2,1.8,0.7,2.4,1.4,Ceará,0,1.9,1.4,0,2.1,1.5,0,2,1.6
Região Metropolitana de Fortaleza,0.5,1.8,2.2,0.9,2,2.8,0.9,2.1,2.3,Região Metropolitana de Fortaleza,0,1.6,2.3,0,1.8,2.6,0,1.7,2.3
Rio Grande do Norte,0.6,2.4,2.4,1.2,3.5,3,1.4,2.8,3.2,Rio Grande do Norte,0,2.2,2.5,0,2.9,3,0,2.4,2.9
Paraíba,0.9,4,4.3,1.9,4.5,5.6,1.4,4.3,4.1,Paraíba,0,4,4.2,0,4.7,4.7,0,3.8,4.1
Pernambuco,0.4,2.4,2.2,0.8,2.7,2.4,0.7,2.6,2.3,Pernambuco,0,2.5,2.1,0,2.7,2.2,0,2.5,2.2
Região Metropolitana de Recife,0.3,1.4,2,0.9,1.7,2.6,0.7,1.6,2,Região Metropolitana de Recife,0,1.3,2,0,1.5,2.5,0,1.4,1.9
Alagoas,0.6,4,2.9,1.4,4.9,3.3,1.3,3.9,3.3,Alagoas,0,4,2.8,0,4.6,3.1,0,3.9,2.8
Sergipe,0.5,2.7,2.8,1.1,3,3,1.3,3.4,3.2,Sergipe,0,2.6,2.8,0,2.8,2.8,0,2.9,3.2
Bahia,0.3,1.7,1.6,0.6,1.9,1.8,0.6,1.9,1.6,Bahia,0,1.7,1.6,0,1.9,1.6,0,1.6,1.6
Região Metropolitana de Salvador,0.3,1.2,2.7,1,1.6,3.4,0.8,1.6,2.8,Região Metropolitana de Salvador,0,1.1,2.8,0,1.2,3.2,0,1.2,2.9
Sudeste,0.1,0.6,1,0.3,0.6,1.2,0.3,0.7,1,Sudeste,0,0.5,1,0,0.6,1.1,0,0.6,1
Minas Gerais,0.3,1.6,2,0.6,1.8,2.3,0.6,1.8,2,Minas Gerais,0,1.6,2,0,1.7,2.1,0,1.5,2
Região Metropolitana de Belo Horizonte,0.4,1.2,2.5,0.9,1.7,3.2,0.8,1.6,2.6,Região Metropolitana de Belo Horizonte,0,1.1,2.5,0,1.3,3,0,1.2,2.6
Espírito Santo,0.6,2.3,3.5,1.4,2.7,4.4,0.9,2.7,3.3,Espírito Santo,0,2.4,3.3,0,2.9,3.8,0,2.3,3.4
Rio de Janeiro,0.3,0.9,1.6,0.6,1.2,2.1,0.5,1.1,1.7,Rio de Janeiro,0,0.8,1.7,0,1,2,0,0.9,1.7
Região Metropolitana do Rio de Janeiro,0.3,1,2.1,0.7,1.3,2.7,0.6,1.2,2.2,Região Metropolitana do Rio de Janeiro,0,0.9,2.1,0,1,2.7,0,1,2.1
São Paulo,0.2,0.7,1.6,0.5,0.8,1.9,0.4,0.9,1.7,São Paulo,0,0.7,1.6,0,0.8,1.8,0,0.8,1.7
Região Metropolitana de São Paulo,0.3,0.8,2.2,0.7,1.1,2.8,0.6,1.1,2.2,Região Metropolitana de São Paulo,0,0.8,2.1,0,0.9,2.6,0,0.9,2.2
Sul,0.2,1,1.5,0.5,1.1,1.7,0.4,1.1,1.5,Sul,0,1,1.5,0,1,1.6,0,1,1.5
Paraná,0.4,1.8,2.4,0.7,2.1,2.5,0.6,1.8,2.6,Paraná,0,1.6,2.5,0,1.7,2.7,0,1.7,2.5
Região Metropolitana de Curitiba,0.5,1.7,3.5,1,2,4.3,0.9,2,3.5,Região Metropolitana de Curitiba,0,1.6,3.5,0,1.8,4.1,0,1.7,3.4
Santa Catarina,0.4,1.5,2.4,0.8,1.6,2.7,0.8,1.9,2.6,Santa Catarina,0,1.4,2.4,0,1.5,2.5,0,1.6,2.6
Rio Grande do Sul,0.3,1.5,2.8,0.8,1.6,3.3,0.5,1.8,2.6,Rio Grande do Sul,0,1.7,2.6,0,1.9,2.9,0,1.6,2.6
Região Metropolitana de Porto Alegre,0.3,1.1,2.3,0.7,1.3,2.8,0.7,1.4,2.4,Região Metropolitana de Porto Alegre,0,1,2.3,0,1.1,2.7,0,1.1,2.4
Centro-Oeste,0.2,1.2,2,0.5,1.3,2.1,0.5,1.3,2.1,Centro-Oeste,0,1.1,2,0,1.2,2.1,0,1.1,2.1
Mato Grosso do Sul,0.5,2.8,4.6,1.1,2.9,4.9,0.9,3.2,4.9,Mato Grosso do Sul,0,2.7,4.7,0,2.7,4.8,0,2.8,5
Mato Grosso,0.5,3.4,3.8,1,3.4,4,1.2,3.8,4.2,Mato Grosso,0,3.2,3.9,0,3.3,3.8,0,3.3,4.4
Goiás,0.4,1.9,3.1,0.8,2.3,3.3,0.8,2,3.3,Goiás,0,1.9,3,0,2.1,3.3,0,1.9,3.2
Distrito Federal,0.5,1.5,4.8,1,1.8,5.9,1,1.8,4.6,Distrito Federal,0,1.3,4.9,0,1.5,5.8,0,1.4,4.7
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
