"Tabela 1.1.24.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.24.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,0.1,0.7,0.7,0.7,0.7,0.5,0.5,0.6,0.7,Brasil,0,0.7,0.7,0.7,0.7,0.5,0.5,0.6,0.7
Norte,0.2,1.5,1.8,1.7,1.6,1.2,1.3,1.8,1.9,Norte,0,1.5,1.8,1.6,1.7,1.2,1.2,1.7,1.8
Rondônia,0.6,4.7,5.1,4,5.1,2.7,3.1,4.6,4.9,Rondônia,0,4.9,4.9,3.9,5.3,2.9,3,4.4,4.7
Acre,0.9,5.5,4,3.9,6.2,4,3.9,6.2,6.8,Acre,0,5.1,3.8,4.1,6.6,4,3.7,6,6.7
Amazonas,0.6,2.8,2.8,3.2,3.5,2.4,3,4.3,4.6,Amazonas,0,3,2.9,3.3,3.4,2.5,2.8,4.1,4.4
Roraima,0.9,6.2,4.8,10.3,6.2,7.6,8.7,9.2,8.7,Roraima,0,6.2,4.4,10.7,5.8,7.6,8.8,8.9,8.5
Pará,0.4,2.4,3.2,2.8,2.5,1.9,2,2.9,2.8,Pará,0,2.5,3.2,2.6,2.6,2,1.9,2.8,2.7
Região Metropolitana de Belém,0.4,3.6,3.2,3.6,3.6,2.5,2.7,3.5,3.5,Região Metropolitana de Belém,0,3.6,3.3,3.5,3.6,2.6,2.6,3.4,3.4
Amapá,1.3,5.7,6.2,6.8,6.4,4.5,6.6,7.6,10.7,Amapá,0,6.1,5.9,6.4,6.8,4.8,5.8,6.9,10.5
Tocantins,0.6,3.1,3.7,6.3,4.7,2.6,2.7,4.1,5.1,Tocantins,0,3.3,3.9,6.1,4.7,2.8,2.6,3.9,4.9
Nordeste,0.2,1.1,1.1,1.3,1.2,0.8,0.9,1.2,1.3,Nordeste,0,1.1,1.1,1.3,1.2,0.9,0.9,1.1,1.2
Maranhão,0.7,3.2,3.3,3.3,3.2,2.7,2.9,4.3,4,Maranhão,0,3.4,3.1,3.3,3.5,2.5,2.7,4.1,3.8
Piauí,0.5,4.2,5.9,5.6,5.1,4.2,2.3,4.9,5.2,Piauí,0,4.4,6,5.6,5.1,4.2,2.4,4.7,4.9
Ceará,0.4,2.5,2.8,3.3,2.7,2.1,2.7,2.3,3,Ceará,0,2.5,2.9,3.2,2.8,2.1,2.6,2.3,2.9
Região Metropolitana de Fortaleza,0.5,3.5,3.3,3.4,3.5,2.2,2.7,3.4,3.6,Região Metropolitana de Fortaleza,0,3.6,3.2,3.5,3.5,2.3,2.6,3.3,3.4
Rio Grande do Norte,0.6,5.7,4,6,5.9,3.3,4.4,4.4,5.4,Rio Grande do Norte,0,5.7,4.1,6,6.1,3.4,4.3,4.3,5.1
Paraíba,0.9,3.9,3,4.5,4.3,3.2,2.6,4.4,4.6,Paraíba,0,4.2,2.8,4.3,4.7,3,2.8,4.3,4
Pernambuco,0.4,2.9,2.5,2.7,2.7,2.2,2.4,3.2,3.1,Pernambuco,0,2.9,2.5,2.7,2.9,2.3,2.3,3,2.8
Região Metropolitana de Recife,0.3,3.1,3.1,3.2,3.3,2.1,2.2,2.5,2.7,Região Metropolitana de Recife,0,3.2,3.1,3.2,3.4,2.1,2.2,2.5,2.5
Alagoas,0.6,4.1,4.6,5.2,4.9,2.9,3.2,4.6,5.3,Alagoas,0,4.2,4.7,5.1,5,3.1,3,4.4,5
Sergipe,0.5,4.4,3.7,4.9,3.9,3.5,3.7,4.7,4.9,Sergipe,0,4.4,3.7,4.9,4,3.5,3.9,4.7,4.7
Bahia,0.3,2.2,2.2,2.7,2.4,1.5,1.5,2.2,2.4,Bahia,0,2.2,2.2,2.7,2.5,1.6,1.5,2.1,2.3
Região Metropolitana de Salvador,0.3,3.6,3.2,3.3,3.2,2,2.4,2.7,3.8,Região Metropolitana de Salvador,0,3.6,3.2,3.3,3.3,2,2.3,2.6,3.7
Sudeste,0.1,1.4,1.2,1.3,1.3,0.8,0.9,1,1.3,Sudeste,0,1.4,1.2,1.3,1.3,0.9,0.9,1,1.2
Minas Gerais,0.3,2.3,1.9,2.4,2.3,1.6,1.6,1.8,2.2,Minas Gerais,0,2.3,1.9,2.3,2.4,1.7,1.5,1.6,2.1
Região Metropolitana de Belo Horizonte,0.4,3.5,2.9,3.3,3.3,2.4,2.5,2.7,3.5,Região Metropolitana de Belo Horizonte,0,3.5,2.9,3.4,3.4,2.5,2.5,2.6,3.3
Espírito Santo,0.6,4.6,4.1,5.1,4.2,3.3,2.9,3.9,4.1,Espírito Santo,0,4.7,4,5,4.2,3.5,2.8,3.7,3.9
Rio de Janeiro,0.3,2.6,2.3,2.4,2.6,1.6,1.9,2.1,2.1,Rio de Janeiro,0,2.7,2.3,2.4,2.6,1.6,1.8,1.9,1.9
Região Metropolitana do Rio de Janeiro,0.3,3.3,2.8,2.8,3,1.7,2.1,2.3,2.4,Região Metropolitana do Rio de Janeiro,0,3.3,2.8,2.8,3,1.8,2.1,2.2,2.3
São Paulo,0.2,2.2,1.9,2,1.9,1.2,1.4,1.6,2.1,São Paulo,0,2.2,1.9,2,2,1.3,1.4,1.5,2
Região Metropolitana de São Paulo,0.3,3,2.6,2.8,2.9,1.9,1.8,2.3,2.9,Região Metropolitana de São Paulo,0,3.1,2.6,2.8,2.9,1.9,1.9,2.2,2.7
Sul,0.2,2,1.8,1.9,1.8,1.2,1.4,1.6,1.6,Sul,0,2.1,1.8,2,1.8,1.3,1.3,1.5,1.5
Paraná,0.4,3.5,3,3.1,2.9,2.2,2.2,2.2,2.8,Paraná,0,3.6,3,3.1,2.9,2.2,2,2.1,2.7
Região Metropolitana de Curitiba,0.5,4.8,4.2,4.9,4.9,3,3.1,3.5,4.2,Região Metropolitana de Curitiba,0,4.8,4.2,5,5,3.2,3,3.3,4
Santa Catarina,0.4,4.3,3.9,4.1,3.6,2.4,2.8,3.6,3.9,Santa Catarina,0,4.4,3.9,4,3.7,2.6,2.8,3.5,3.7
Rio Grande do Sul,0.3,2.8,2.6,3.2,2.9,1.8,2.4,2.5,2.2,Rio Grande do Sul,0,2.9,2.7,3.2,3,2,2.3,2.3,2.1
Região Metropolitana de Porto Alegre,0.3,3.1,2.9,3,3.1,2.2,2.1,2.3,2.9,Região Metropolitana de Porto Alegre,0,3.2,2.9,3.1,3.1,2.2,2.1,2.1,2.7
Centro-Oeste,0.2,2,1.9,1.9,2,1.4,1.4,2,2.1,Centro-Oeste,0,2.1,1.9,1.9,2,1.5,1.3,1.9,2
Mato Grosso do Sul,0.5,5.5,4.8,4,5.5,5.1,3.3,4.8,6.2,Mato Grosso do Sul,0,5.7,4.7,4,5.5,5.2,3.2,4.6,6
Mato Grosso,0.5,4.9,4,4.5,3.5,3.1,2.7,4.2,4.6,Mato Grosso,0,5,4,4.4,3.5,3.2,2.6,4,4.5
Goiás,0.4,2.8,3,3.2,3.4,1.8,2.2,3.3,2.9,Goiás,0,2.9,3,3.1,3.4,1.9,2.2,3.1,2.7
Distrito Federal,0.5,4.3,3.9,3.9,4,2.9,2.9,3.8,4.8,Distrito Federal,0,4.4,3.9,3.9,4,3,2.9,3.6,4.6
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
