"Tabela 1.1.27.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.27.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total,Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,0.1,0.7,0.5,0.6,0.5,1.5,6.3,Brasil,0,0.7,0.5,0.6,0.5,1.5,6.3
Norte,0.2,1.5,1.1,1.5,1.3,3.5,14,Norte,0,1.5,1.1,1.4,1.2,3.4,14
Rondônia,0.6,3.5,2.8,3.9,3.3,8.3,47.6,Rondônia,0,3.4,3,3.9,3.1,8.2,47.4
Acre,0.9,4.3,5.3,4.1,3.9,9.9,19.9,Acre,0,4.5,4.9,4.1,3.9,9.7,19.9
Amazonas,0.6,3.7,2.1,3.4,2.8,8.1,28.9,Amazonas,0,3.8,2.2,3.3,2.6,7.9,29.2
Roraima,0.9,9.7,5.3,3.8,4.6,12.5,99.1,Roraima,0,9.4,5.6,3.8,4.6,12.4,99.1
Pará,0.4,2.2,1.6,2.3,2,6,19.8,Pará,0,2.2,1.6,2.3,1.9,6,19.8
Região Metropolitana de Belém,0.4,3.7,2.9,2.5,2.2,7.5,19.8,Região Metropolitana de Belém,0,3.7,3,2.6,2.1,7.3,19.8
Amapá,1.3,8.4,6.6,5.9,6.4,13.7,60.9,Amapá,0,9,7.1,5.5,5.8,12.9,60.9
Tocantins,0.6,4.6,3.6,2.9,3.4,10,68,Tocantins,0,4.5,3.8,3,3.4,9.8,68
Nordeste,0.2,1.1,0.8,1,1.1,3,11.8,Nordeste,0,1.1,0.8,1,1.1,3,11.8
Maranhão,0.7,3.1,2.6,3.7,3.2,10.5,34.3,Maranhão,0,3.1,2.5,3.7,3,10.3,34.3
Piauí,0.5,3.6,2.2,3.9,5,13.6,99.1,Piauí,0,3.6,2.2,4,4.9,13.4,98.9
Ceará,0.4,2.4,1.8,2.3,2.2,6.3,19.2,Ceará,0,2.5,1.7,2.3,2.1,6.2,19.1
Região Metropolitana de Fortaleza,0.5,3.3,2.4,2.6,2.4,7.9,22.9,Região Metropolitana de Fortaleza,0,3.4,2.4,2.6,2.3,7.8,22.9
Rio Grande do Norte,0.6,4.3,4.1,3.3,5.7,11.6,34,Rio Grande do Norte,0,4.3,4.2,3.3,5.6,11.4,34.1
Paraíba,0.9,5.3,3,2.8,4.9,13.3,59.5,Paraíba,0,5.2,3.1,2.7,4.7,13.2,59.5
Pernambuco,0.4,3.1,1.8,2.1,2.6,6.3,26.2,Pernambuco,0,3.1,1.9,2.1,2.5,6.2,26.2
Região Metropolitana de Recife,0.3,3.3,2.3,2.4,1.9,6.6,28.7,Região Metropolitana de Recife,0,3.3,2.3,2.4,1.9,6.5,28.7
Alagoas,0.6,3.8,2.4,4.9,4.9,13.6,52.7,Alagoas,0,3.7,2.6,5.1,4.7,13.4,52.8
Sergipe,0.5,4.1,2.8,3.1,3.8,9.9,30.2,Sergipe,0,4,2.9,3.2,3.8,9.8,30
Bahia,0.3,2.1,1.5,2,2,5.9,27.2,Bahia,0,2.1,1.5,2,2,5.9,27.3
Região Metropolitana de Salvador,0.3,4,2.7,2.8,1.9,7.5,49.9,Região Metropolitana de Salvador,0,4,2.8,2.9,1.9,7.4,49.9
Sudeste,0.1,1.5,0.9,1,0.7,2.4,13.6,Sudeste,0,1.5,0.9,1,0.7,2.4,13.6
Minas Gerais,0.3,2.8,1.4,1.5,1.5,4.2,21.2,Minas Gerais,0,2.8,1.4,1.5,1.4,4.1,21.2
Região Metropolitana de Belo Horizonte,0.4,4.1,2.3,2.5,2,7.2,35,Região Metropolitana de Belo Horizonte,0,4.1,2.4,2.5,1.9,7,35
Espírito Santo,0.6,5.2,3.3,3.2,3.3,8.3,40.1,Espírito Santo,0,5.2,3.2,3.2,3.3,8.3,40.3
Rio de Janeiro,0.3,2.7,1.9,1.9,1.5,4.5,23.7,Rio de Janeiro,0,2.7,1.9,1.9,1.5,4.5,23.7
Região Metropolitana do Rio de Janeiro,0.3,3.3,2.4,2.2,1.7,5.2,28.3,Região Metropolitana do Rio de Janeiro,0,3.4,2.4,2.3,1.6,5.1,28.3
São Paulo,0.2,2.5,1.4,1.5,1.1,3.5,30,São Paulo,0,2.5,1.4,1.5,1,3.5,30
Região Metropolitana de São Paulo,0.3,3.2,2.1,2.3,1.4,5,40.4,Região Metropolitana de São Paulo,0,3.2,2.1,2.3,1.4,4.9,40.4
Sul,0.2,2.3,1.4,1.3,1.3,3,12.4,Sul,0,2.3,1.4,1.4,1.3,2.9,12.4
Paraná,0.4,3.6,2.2,2.2,2.3,5.4,15.8,Paraná,0,3.7,2.3,2.2,2.2,5.3,15.8
Região Metropolitana de Curitiba,0.5,4.9,3.6,3.5,2.6,7,34.5,Região Metropolitana de Curitiba,0,4.8,3.6,3.5,2.6,6.9,34.5
Santa Catarina,0.4,4.9,3.6,2.8,2.5,6.4,22.9,Santa Catarina,0,4.9,3.6,2.9,2.4,6.2,23
Rio Grande do Sul,0.3,3.8,2.1,2.1,2,3.8,37.1,Rio Grande do Sul,0,3.7,2,2.2,2,3.8,37.1
Região Metropolitana de Porto Alegre,0.3,3.4,2,2.1,2,5,35.3,Região Metropolitana de Porto Alegre,0,3.4,2.1,2.2,2,4.9,35.3
Centro-Oeste,0.2,2.1,1.5,1.4,1.4,3.6,21.6,Centro-Oeste,0,2.1,1.5,1.5,1.3,3.6,21.6
Mato Grosso do Sul,0.5,5,3.4,4,3.9,8.3,36.9,Mato Grosso do Sul,0,5.1,3.4,4,3.8,8.1,37
Mato Grosso,0.5,4,3.6,2.9,3.1,11.1,43,Mato Grosso,0,4.2,3.7,3,3,10.8,43
Goiás,0.4,3.1,2.2,2.1,2.2,5.3,49.8,Goiás,0,3,2.2,2.1,2.1,5.2,49.8
Distrito Federal,0.5,5.9,4.1,3.6,2.3,6.8,34.2,Distrito Federal,0,6,4.2,3.7,2.2,6.7,34.2
,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
