"Tabela 1.1.28.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.28.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Tabela 1.1.28.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total,Grupos de anos de estudo,,,,,,,Total (1),Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,0.4,1.4,0.8,0.7,0.6,1.5,7.6,Brasil,0,1.4,0.8,0.7,0.4,1.4,7.6,Brasil,0.4,1.4,0.7,0.5,0.3,0.2,5.5
Norte,1.4,3.6,2.4,2.2,1.7,3.8,16.4,Norte,0,3.2,2,1.7,1.1,3.4,16.4,Norte,1.3,3.9,2.3,1.7,1,0.9,14.8
Rondônia,3.2,8.9,5.5,6.1,4.8,9.2,61.8,Rondônia,0,8.9,5,5.2,3.1,8.4,62,Rondônia,3,8.8,4.4,4.2,2.7,2.5,31.2
Acre,4.2,12.1,6.6,7.2,5.2,11.5,32.3,Acre,0,12,6.8,6,2.8,9.6,32.1,Acre,4.1,12.6,7.8,5.3,2.4,2.6,26.7
Amazonas,3,9.2,6.2,4.2,3.6,8.7,36.9,Amazonas,0,8.1,5,3.8,2.2,7.9,37.4,Amazonas,2.9,9.9,5.9,4.5,2.6,1.9,40.2
Roraima,3.5,11.5,6.7,6,5.8,12.9,99.1,Roraima,0,12.5,7.5,5.8,3.6,11.2,99.2,Roraima,3.5,9.7,4.8,4.6,1.9,1.4,0
Pará,2.1,5.1,3.5,3.6,2.5,6.5,21.7,Pará,0,4.5,2.9,2.7,1.7,6,21.6,Pará,2,5.5,3.4,2.5,1.4,1.9,15.6
Região Metropolitana de Belém,1.7,7.4,3.8,3.4,2.6,7.8,21.9,Região Metropolitana de Belém,0,7.2,3.9,3.4,1.9,7.2,21.9,Região Metropolitana de Belém,1.6,7,3.1,2.2,1.1,1.2,11
