"Tabela 1.1.29.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.29.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,
,Total,Nível de instrução,,,,,,,,Total,Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,0.1,0.4,0.7,0.9,0.5,1.2,1.5,4.6,Brasil,0,0.4,0.7,0.9,0.5,1.2,1.4,4.6
Norte,0.2,0.9,2.1,2.1,1.3,3,3.5,10.9,Norte,0,1,2.1,2.1,1.3,3,3.4,11
Rondônia,0.6,2.2,6,6.1,3.4,7.2,8.1,22.7,Rondônia,0,2.2,6,5.9,3.3,7.1,8,22.7
Acre,0.9,3.2,4.7,5.5,4.2,9.1,9.8,17.1,Acre,0,3.1,4.8,5.3,4.1,8.9,9.6,17
Amazonas,0.6,2.2,5.8,3.9,3.1,6.4,7.8,24.6,Amazonas,0,2.4,5.7,4,3,6.1,7.6,24.8
Roraima,0.9,4.7,8.1,6.2,5.3,9.4,12.2,77.4,Roraima,0,4.6,8,6.2,5.2,9.6,12.1,77.4
Pará,0.4,1.4,3.1,3.6,2,5.6,6.1,15.6,Pará,0,1.4,3.1,3.5,2,5.6,6.1,15.6
Região Metropolitana de Belém,0.4,2.5,3.6,3.3,2.2,6.3,7.4,17.3,Região Metropolitana de Belém,0,2.6,3.6,3.4,2.2,6.2,7.3,17.3
Amapá,1.3,6.7,6.2,9.4,6.3,13.1,13.9,39.7,Amapá,0,7.2,5.9,9.1,5.7,12.7,13.1,39.8
Tocantins,0.6,2.8,5.6,4.3,3.8,8.1,9.6,58.1,Tocantins,0,2.9,5.6,4.3,3.7,8,9.4,58
Nordeste,0.2,0.7,1.4,1.5,1.1,2.8,3,8.9,Nordeste,0,0.7,1.4,1.5,1.1,2.7,3,8.9
Maranhão,0.7,1.9,5.1,5,3.6,10.4,10.7,29.9,Maranhão,0,1.9,5.1,4.9,3.4,10.4,10.6,29.8
Piauí,0.5,2.3,6.4,6.8,4.6,14.5,13.5,99.1,Piauí,0,2.3,6.2,7,4.6,14.4,13.4,98.9
Ceará,0.4,1.5,3.4,3.2,2.3,6.6,6.3,16.4,Ceará,0,1.5,3.4,3.3,2.3,6.6,6.3,16.3
Região Metropolitana de Fortaleza,0.5,2.1,3.4,4.2,2.3,6.6,7.6,19.5,Região Metropolitana de Fortaleza,0,2.2,3.4,4.2,2.2,6.5,7.5,19.5
Rio Grande do Norte,0.6,3.5,5.8,5.5,6.1,9,11.7,35.2,Rio Grande do Norte,0,3.6,5.8,5.6,6,8.8,11.6,35.3
Paraíba,0.9,3.5,4,6.1,4.8,9.9,13.5,41.5,Paraíba,0,3.6,4,5.9,4.6,9.8,13.4,41.6
Pernambuco,0.4,1.9,3.1,3.2,2.4,6.3,6.3,16.8,Pernambuco,0,1.9,3.1,3.1,2.4,6.2,6.3,16.7
Região Metropolitana de Recife,0.3,2.1,3.4,3.8,2,5.4,6.7,21.3,Região Metropolitana de Recife,0,2.1,3.4,3.8,2,5.3,6.6,21.3
Alagoas,0.6,2.3,6.3,8.2,4.7,11.1,12.7,56.8,Alagoas,0,2.2,6.3,8.4,4.6,11,12.5,57
Sergipe,0.5,2.2,4.2,5.3,4.1,9.3,9.9,22.5,Sergipe,0,2.2,4.2,5.4,4.1,9.3,9.7,22.4
Bahia,0.3,1.3,2.9,2.9,2.1,5.5,5.9,18.4,Bahia,0,1.3,2.9,2.9,2,5.5,5.9,18.5
Região Metropolitana de Salvador,0.3,2.5,4,3.8,2,5.9,7.7,32.4,Região Metropolitana de Salvador,0,2.6,4,3.9,1.9,5.8,7.5,32.4
Sudeste,0.1,0.8,1.2,1.6,0.8,1.9,2.3,10.1,Sudeste,0,0.8,1.2,1.6,0.8,1.9,2.3,10.1
Minas Gerais,0.3,1.3,1.9,2.5,1.5,4.1,4,16.3,Minas Gerais,0,1.3,1.9,2.6,1.4,4,3.9,16.3
Região Metropolitana de Belo Horizonte,0.4,2.3,3.2,3.8,2.2,5.3,6.9,22.9,Região Metropolitana de Belo Horizonte,0,2.3,3.3,3.8,2.1,5.3,6.8,22.8
Espírito Santo,0.6,2.8,4.4,5.3,3.5,6.8,8.3,27.6,Espírito Santo,0,2.7,4.3,5.3,3.4,6.8,8.4,27.7
Rio de Janeiro,0.3,1.8,2.4,3,1.6,4.1,4.6,17.8,Rio de Janeiro,0,1.8,2.4,3,1.6,4.1,4.5,17.8
Região Metropolitana do Rio de Janeiro,0.3,2.1,2.9,3.4,1.8,4.5,5.3,22.7,Região Metropolitana do Rio de Janeiro,0,2.2,2.9,3.4,1.7,4.5,5.2,22.7
São Paulo,0.2,1.3,1.9,2.4,1.2,2.8,3.4,19.2,São Paulo,0,1.3,1.9,2.5,1.2,2.7,3.3,19.2
Região Metropolitana de São Paulo,0.3,1.8,3,3.5,1.6,4.2,4.7,35,Região Metropolitana de São Paulo,0,1.9,3,3.5,1.5,4.1,4.6,35
Sul,0.2,1.3,1.7,2.2,1.4,2.9,3,9.3,Sul,0,1.3,1.7,2.3,1.3,2.9,2.9,9.3
Paraná,0.4,2.2,2.6,3.5,2.3,5.1,5.2,12.5,Paraná,0,2.3,2.6,3.5,2.2,5,5.1,12.6
Região Metropolitana de Curitiba,0.5,3.1,4.4,5,2.8,6.3,6.6,24.4,Região Metropolitana de Curitiba,0,3.1,4.4,5,2.9,6.2,6.5,24.4
Santa Catarina,0.4,2.8,3.7,4.7,2.5,6.6,6.5,17.8,Santa Catarina,0,2.9,3.7,4.8,2.5,6.5,6.4,17.8
Rio Grande do Sul,0.3,2.1,2.7,3.7,2.2,4.2,4,18.5,Rio Grande do Sul,0,2,2.8,3.8,2.2,4.2,3.9,18.4
Região Metropolitana de Porto Alegre,0.3,1.9,2.8,3.4,2.1,4.3,5.2,18.8,Região Metropolitana de Porto Alegre,0,2,2.8,3.4,2.1,4.2,5.1,18.8
Centro-Oeste,0.2,1.3,2,2.1,1.4,3,3.6,14.2,Centro-Oeste,0,1.3,2.1,2.1,1.4,2.9,3.6,14.2
Mato Grosso do Sul,0.5,2.9,5.1,5.4,3.9,7.8,7.7,30.2,Mato Grosso do Sul,0,3,5.2,5.4,3.8,7.6,7.6,30.3
Mato Grosso,0.5,2.9,4.3,3.7,2.9,8,11,30.8,Mato Grosso,0,3.1,4.3,3.8,2.8,7.8,10.8,30.8
Goiás,0.4,1.9,3,3.4,2.1,4.8,5.4,24.3,Goiás,0,1.8,3,3.5,2.1,4.7,5.3,24.3
Distrito Federal,0.5,3.8,5,4.9,2.7,5.2,6.6,25.7,Distrito Federal,0,3.9,5.1,5,2.7,5,6.5,25.6
,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
