"Tabela 1.1.30.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.30.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.1.30.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,,
,Total,Nível de instrução,,,,,,,,Total,Nível de instrução,,,,,,,,Total (1),Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,0.4,0.8,1,1,0.6,1.3,1.5,5.2,Brasil,0,0.7,1,1,0.5,1.1,1.4,5.1,Brasil,0.4,0.8,0.7,0.5,0.3,0.3,0.2,3
Norte,1.4,2.3,3,2.8,1.8,3.2,3.7,10.7,Norte,0,1.8,2.6,2.4,1.2,3.1,3.4,10.8,Norte,1.3,2.4,2.4,1.7,1.2,0.9,0.9,9.7
Rondônia,3.2,5,8.2,8.2,5.3,8,9,28.2,Rondônia,0,4.6,7.2,7.9,3.7,7.2,8.2,28.4,Rondônia,3,4.8,5.1,4.7,3.3,2.7,2.5,12.7
Acre,4.2,6.5,8.8,8.1,5.5,10,11.5,26,Acre,0,6.6,8.1,6.7,3.1,9,9.7,26,Acre,4.1,7.1,7.1,5.7,2.7,2.7,2.7,17.2
Amazonas,3,6.2,6,5.7,3.8,6.7,8.4,21.8,Amazonas,0,4.9,5.7,5.4,2.4,6.3,7.6,22.3,Amazonas,2.9,6.4,5.8,4.1,3,1.1,1.8,24.7
Roraima,3.5,5.8,11,8,7,9.5,12.5,77.4,Roraima,0,6.9,10.5,8.2,5,8.7,10.8,77.6,Roraima,3.5,5.2,7.7,5.4,2.4,1.6,1.4,0
Pará,2.1,3.4,4.8,4.5,2.8,6.1,6.4,16.7,Pará,0,2.7,4.1,3.8,2,6.1,6,16.8,Pará,2,3.5,3.7,2.4,1.6,2,1.9,11.5
