"Tabela 1.1.34.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.34.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,0.1,0.4,1.1,1,0.4,0.7,1,1.6,3,Brasil,0,0.4,1.1,1,0.4,0.7,1,1.6,3
Norte,0.2,0.9,2.5,1.9,1.1,2.3,3.1,4.1,8.4,Norte,0,0.9,2.6,2,1.1,2.2,3.1,4,8.3
Rondônia,0.6,2.6,6.4,6.9,2.9,4.6,6.9,10.3,16.1,Rondônia,0,2.5,6.5,6.9,2.9,4.6,6.8,10.2,16
Acre,0.9,3.1,4.4,4.4,2.8,5.8,10.6,14.1,22.7,Acre,0,2.7,4.5,4.8,3,5.7,10.5,14,22.7
Amazonas,0.6,2.2,7.7,3.8,2.6,5,6.9,9.8,18.8,Amazonas,0,2.2,7.8,4,2.4,4.8,6.8,9.6,18.7
Roraima,0.9,3,8.9,7.7,4.5,8.4,11.1,17.2,31.8,Roraima,0,3,8.8,7.2,4.5,8.2,11.1,17.2,31.7
Pará,0.4,1.3,3.5,2.8,1.8,4.1,5.1,6.6,13.6,Pará,0,1.3,3.5,2.8,1.7,4.1,5.1,6.6,13.5
Região Metropolitana de Belém,0.4,1.5,4.2,4.5,1.8,4.4,6.3,8.9,17.1,Região Metropolitana de Belém,0,1.5,4.3,4.5,1.9,4.3,6.2,8.8,17
Amapá,1.3,3.9,10.8,12,4.6,7.6,13.1,18,29.2,Amapá,0,3.5,11.4,12.7,4.6,7,12.4,17.2,28.8
Tocantins,0.6,2.2,3.8,5.9,3,5.1,12.2,10.6,29.5,Tocantins,0,2.4,3.8,5.9,2.8,5.1,12.1,10.6,29.4
Nordeste,0.2,0.6,1.5,1.5,0.8,1.6,2.9,4.4,6.9,Nordeste,0,0.6,1.6,1.5,0.8,1.6,2.9,4.3,6.9
Maranhão,0.7,2.6,3.4,4.6,4.2,5.6,12.4,13.2,29.7,Maranhão,0,2.7,3.5,4.8,3.8,5.6,12.3,13.1,29.7
Piauí,0.5,2.3,5.8,4.9,2.8,7.6,13.2,16.8,28.5,Piauí,0,2.4,5.8,4.9,2.8,7.3,13,16.6,28.4
Ceará,0.4,1.8,3.9,3.6,1.8,3.6,7.6,10.2,15.4,Ceará,0,1.7,4.1,3.6,1.6,3.6,7.5,10.1,15.4
Região Metropolitana de Fortaleza,0.5,1.7,4.3,4.9,1.7,3.9,6.8,9.6,16.1,Região Metropolitana de Fortaleza,0,1.6,4.4,4.9,1.6,3.8,6.7,9.5,16
Rio Grande do Norte,0.6,1.8,7.4,6.7,3.2,6.6,9.6,13.5,25.7,Rio Grande do Norte,0,1.7,7.6,6.8,3,6.4,9.5,13.4,25.6
Paraíba,0.9,2.1,6.5,6.3,3.1,8.1,12.6,21.4,25.1,Paraíba,0,2,6.8,6.2,2.8,7.8,12.4,21.2,25.2
Pernambuco,0.4,1.2,3,3.5,1.6,3.5,5.7,11.7,13.6,Pernambuco,0,1.1,3.2,3.4,1.5,3.4,5.7,11.7,13.5
Região Metropolitana de Recife,0.3,1.3,4.1,4.4,1.6,3.8,5.8,8.6,14.8,Região Metropolitana de Recife,0,1.3,4.2,4.4,1.6,3.7,5.7,8.6,14.7
Alagoas,0.6,2.1,5.7,4.3,2.9,7.8,12.3,19.6,37.2,Alagoas,0,2,6,4.4,2.7,7.7,12.2,19.5,37.2
Sergipe,0.5,2.6,4.8,5.6,3,5.9,8.6,12.5,24.7,Sergipe,0,2.6,4.8,5.6,3,5.8,8.6,12.4,24.6
Bahia,0.3,1.2,3.6,3.2,1.6,2.9,5.3,7.6,12.4,Bahia,0,1.2,3.6,3.3,1.5,2.8,5.3,7.6,12.4
Região Metropolitana de Salvador,0.3,1.9,4.8,4,2.1,3.8,6.4,9.4,15,Região Metropolitana de Salvador,0,1.9,4.9,4.1,2.1,3.7,6.3,9.3,14.9
Sudeste,0.1,0.6,2.5,2.3,0.8,1.1,1.5,2.6,4.7,Sudeste,0,0.6,2.5,2.3,0.8,1,1.5,2.6,4.6
Minas Gerais,0.3,1.1,4.3,4.7,1.3,2.1,3.1,4.3,7.8,Minas Gerais,0,1.1,4.3,4.7,1.3,2.1,3,4.2,7.7
Região Metropolitana de Belo Horizonte,0.4,1.5,6.5,5.7,2.1,2.9,4.2,6.5,12.4,Região Metropolitana de Belo Horizonte,0,1.5,6.7,5.7,2.1,2.8,4.1,6.4,12.3
Espírito Santo,0.6,2.2,6.7,7.6,2.6,5.2,6.7,10.9,13.4,Espírito Santo,0,2.3,6.8,7.6,2.5,5,6.7,10.9,13.4
Rio de Janeiro,0.3,1.1,4.9,4.1,1.5,2.1,3.3,5.4,9,Rio de Janeiro,0,1.2,5,4.2,1.5,2.1,3.2,5.3,8.9
Região Metropolitana do Rio de Janeiro,0.3,1.4,6.2,5,1.9,2.4,3.8,6.3,10.1,Região Metropolitana do Rio de Janeiro,0,1.5,6.2,5,1.9,2.4,3.8,6.2,10
São Paulo,0.2,1,4.2,3.7,1.2,1.5,2.1,3.8,7.1,São Paulo,0,1,4.3,3.7,1.2,1.4,2.1,3.7,7.1
Região Metropolitana de São Paulo,0.3,1.4,5.8,5.4,1.9,2.2,3.3,5.4,9.4,Região Metropolitana de São Paulo,0,1.4,5.9,5.4,1.9,2.2,3.2,5.3,9.3
Sul,0.2,1,4.4,3,1,1.4,2.2,3,5.6,Sul,0,1,4.4,3,1,1.4,2.1,3,5.5
Paraná,0.4,1.7,7.3,4.6,1.7,2.3,3.8,5.2,10.1,Paraná,0,1.7,7.4,4.7,1.7,2.2,3.6,5,10
Região Metropolitana de Curitiba,0.5,2.2,10.2,8,3,3.4,5,6.8,12.9,Região Metropolitana de Curitiba,0,2.2,10.2,8.1,3,3.4,4.9,6.7,12.8
Santa Catarina,0.4,2.3,11.5,7.6,2.2,2.6,3.9,6.7,12.5,Santa Catarina,0,2.3,11.6,7.7,2.3,2.6,3.9,6.6,12.4
Rio Grande do Sul,0.3,1.5,6.2,4.5,1.5,2.5,3.6,4.4,7.2,Rio Grande do Sul,0,1.5,6.3,4.5,1.4,2.4,3.5,4.5,7.2
Região Metropolitana de Porto Alegre,0.3,1.6,6.1,5,1.8,2.2,3.2,5.1,9,Região Metropolitana de Porto Alegre,0,1.6,6.2,5,1.9,2.2,3.1,5,8.9
Centro-Oeste,0.2,0.9,4,3.4,1.3,1.8,2.6,3.7,7.1,Centro-Oeste,0,0.9,4,3.4,1.3,1.8,2.6,3.7,7.1
Mato Grosso do Sul,0.5,2.6,8.5,7.9,3,3.9,6.5,8,17.6,Mato Grosso do Sul,0,2.6,8.5,7.9,3,3.9,6.4,8,17.4
Mato Grosso,0.5,1.9,8.6,8.3,2.9,4,6.4,8.8,17.9,Mato Grosso,0,1.9,8.9,8.5,2.9,3.8,6.2,8.6,17.8
Goiás,0.4,1.5,6,5,1.8,2.9,4,7.2,12.5,Goiás,0,1.5,6.1,5,1.8,2.8,4,7.2,12.5
Distrito Federal,0.5,1.9,9.4,7.9,3.9,4,5.1,6.1,10.6,Distrito Federal,0,2,9.5,7.9,4,4,5,6,10.5
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,,(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,
