"Tabela 1.1.36.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.36.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,0.1,1.7,1,0.7,0.7,1.2,1.8,2.7,Brasil,0,1.8,1.1,0.7,0.6,1.2,1.8,2.7
Norte,0.2,3.6,2.1,1.8,2,4,5.8,8.2,Norte,0,3.7,2.1,1.7,1.9,4,5.8,8.1
Rondônia,0.6,10.3,6.2,3.9,4.4,8.2,13.4,17.9,Rondônia,0,10.4,6.3,3.9,4.3,8,13.2,17.8
Acre,0.9,7.8,5.2,4.6,6.7,11.7,16,21.9,Acre,0,7.8,5.2,4.7,6.6,11.5,16,21.8
Amazonas,0.6,6.5,4.9,3.6,5.2,9.5,13.9,18.5,Amazonas,0,6.7,5.1,3.5,5,9.4,13.7,18.4
Roraima,0.9,9.9,7.7,7.5,8.5,14.2,18.9,31,Roraima,0,10.1,7.7,7.4,8.5,14.2,18.8,30.9
Pará,0.4,6,3,2.9,3.1,6.9,11.1,14.3,Pará,0,6,3,2.8,3.1,6.9,11.1,14.3
Região Metropolitana de Belém,0.4,9.3,4.7,3.1,3.6,8.5,9.9,17.8,Região Metropolitana de Belém,0,9.4,4.8,3.1,3.5,8.4,9.8,17.7
Amapá,1.3,19.8,7.4,7,10.8,17.2,20.4,28.1,Amapá,0,20.1,8.2,7.3,10.2,16.6,19.6,27.6
Tocantins,0.6,7.5,7.1,4.3,4.5,12.9,12.2,25.2,Tocantins,0,7.6,7.5,4.2,4.3,12.8,12.2,25.1
Nordeste,0.2,2.4,1.5,1.3,1.6,3.4,4.6,6.8,Nordeste,0,2.5,1.5,1.2,1.5,3.4,4.6,6.8
Maranhão,0.7,7.1,4.3,5.9,6.7,14.4,17.1,26.5,Maranhão,0,7.5,4.4,5.6,6.4,14.3,17,26.5
Piauí,0.5,6.8,6.2,5.1,6.9,12.1,23,25.4,Piauí,0,7,6.4,5,6.7,12,22.8,25.3
Ceará,0.4,4.9,3.7,2.4,3.6,7.7,12,14.5,Ceará,0,5.1,3.8,2.3,3.4,7.6,11.9,14.4
Região Metropolitana de Fortaleza,0.5,7.5,4.3,3,3.6,8.9,13,15.6,Região Metropolitana de Fortaleza,0,7.7,4.5,2.9,3.4,8.8,12.9,15.5
Rio Grande do Norte,0.6,8.1,6,5.5,6.3,12.8,16.2,26.3,Rio Grande do Norte,0,8.3,6.2,5.5,6.1,12.7,16.1,26.2
Paraíba,0.9,7.7,5.9,6,6.5,15.6,19.2,25.2,Paraíba,0,7.9,6.2,5.7,6.3,15.3,19.2,25.2
Pernambuco,0.4,6.4,3.4,2.3,2.8,8.9,9.8,15.1,Pernambuco,0,6.4,3.5,2.2,2.6,8.9,9.7,15.1
Região Metropolitana de Recife,0.3,6.5,4,2.7,3.4,7.5,9.4,15,Região Metropolitana de Recife,0,6.6,4.1,2.7,3.3,7.4,9.4,14.9
Alagoas,0.6,10,6.2,4.7,5.7,13.1,22.9,34.8,Alagoas,0,10.2,6.3,4.4,5.6,12.9,22.8,34.7
Sergipe,0.5,10.1,5.6,4.8,5.2,11.2,13.7,27.3,Sergipe,0,10.2,5.7,4.7,5.1,11.1,13.6,27.3
Bahia,0.3,5.5,3,2.3,3.2,5.8,8.4,12.1,Bahia,0,5.6,3,2.2,3.1,5.7,8.4,12.1
Região Metropolitana de Salvador,0.3,8.5,5.3,3.2,3.3,7.5,9.4,13.7,Região Metropolitana de Salvador,0,8.6,5.4,3.2,3.3,7.5,9.3,13.6
Sudeste,0.1,3.9,2.2,1.3,1.1,1.9,2.8,4.1,Sudeste,0,4,2.3,1.3,1,1.9,2.7,4.1
Minas Gerais,0.3,5.7,3.8,2,2,3.8,4.8,7.3,Minas Gerais,0,5.8,3.9,2.1,1.9,3.8,4.7,7.3
Região Metropolitana de Belo Horizonte,0.4,11.7,6.2,3.5,2.8,5.8,7.5,10.8,Região Metropolitana de Belo Horizonte,0,11.9,6.3,3.6,2.8,5.7,7.4,10.7
Espírito Santo,0.6,14,8,4.2,4.4,7.9,10.4,14.4,Espírito Santo,0,14,8.3,4.1,4.1,7.8,10.4,14.3
Rio de Janeiro,0.3,7.9,3.8,2.3,1.9,3.9,5.5,7.7,Rio de Janeiro,0,8,3.9,2.4,1.9,3.8,5.4,7.7
Região Metropolitana do Rio de Janeiro,0.3,9.6,4.9,2.9,2.4,4.5,6.1,8.9,Região Metropolitana do Rio de Janeiro,0,9.6,5,3,2.3,4.4,6,8.8
São Paulo,0.2,7.2,4.1,2.3,1.6,2.7,4.1,6.3,São Paulo,0,7.2,4.1,2.3,1.5,2.6,4.1,6.2
Região Metropolitana de São Paulo,0.3,8.7,5.7,3.2,2.4,4.1,6,8.3,Região Metropolitana de São Paulo,0,8.7,5.8,3.3,2.3,4,6,8.2
Sul,0.2,7,4,1.7,1.3,2.4,3.5,4.7,Sul,0,7.1,4.1,1.7,1.2,2.4,3.5,4.7
Paraná,0.4,12,6.5,2.4,2.4,3.9,5.8,9.1,Paraná,0,12.2,6.6,2.5,2.3,3.7,5.7,9
Região Metropolitana de Curitiba,0.5,16.7,11.3,4.7,3.4,6.6,8.4,12.5,Região Metropolitana de Curitiba,0,16.8,11.3,4.8,3.4,6.5,8.4,12.4
Santa Catarina,0.4,20.1,8.5,4.9,2.3,4.7,7.8,9.8,Santa Catarina,0,20.1,8.7,5,2.2,4.6,7.7,9.7
Rio Grande do Sul,0.3,8.9,6.3,2.5,1.9,4,4.7,6.1,Rio Grande do Sul,0,8.9,6.4,2.5,1.8,3.9,4.7,6.1
Região Metropolitana de Porto Alegre,0.3,9.8,6.6,3.2,2.2,4,5.5,7.3,Região Metropolitana de Porto Alegre,0,9.9,6.7,3.3,2.1,3.9,5.4,7.2
Centro-Oeste,0.2,6.6,4,2.1,1.6,3.4,4.2,6.6,Centro-Oeste,0,6.6,4.1,2.1,1.6,3.4,4.2,6.6
Mato Grosso do Sul,0.5,15.2,7.6,5.4,3.7,9.1,11.3,18.2,Mato Grosso do Sul,0,15.2,7.8,5.4,3.5,9.2,11.3,18.1
Mato Grosso,0.5,11.8,9.3,4.3,3.2,7.9,10.4,15.1,Mato Grosso,0,11.8,9.4,4.5,3.2,7.6,10.2,14.9
Goiás,0.4,10.3,6.1,2.8,2.5,5.5,7,11.8,Goiás,0,10.4,6.2,2.8,2.4,5.4,7,11.8
Distrito Federal,0.5,17,9.5,6.3,4.3,6,7.2,10.1,Distrito Federal,0,17.1,9.6,6.5,4.3,5.8,7,10
,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,
