"Tabela 1.1.37.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.37.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.1.37.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,0.4,2.2,1.4,0.9,0.9,1.4,1.9,2.8,Brasil,0,2.2,1.4,0.9,0.8,1.3,1.8,2.7,Brasil,0.4,1.7,0.9,0.6,0.5,0.6,0.5,0.4
Norte,1.4,4.9,3.1,2.4,2.6,4.5,6.3,8.8,Norte,0,4.8,3,2,2.1,4.2,6,8.6,Norte,1.3,4.4,2.7,1.7,1.5,1.9,1.9,1.7
Rondônia,3.2,13.3,9.1,6.3,6.4,9.8,15.6,20.2,Rondônia,0,14.3,9.6,5.7,5.4,8.9,14.4,19.4,Rondônia,3,11.2,7,4.9,3.6,3.8,4.8,6.1
Acre,4.2,14.9,9.5,6.7,8.8,14.4,19.1,23.3,Acre,0,15,9.9,6.3,6.7,13,17.8,21.9,Acre,4.1,14.7,6.5,4.4,4.8,5.9,7.3,5.2
Amazonas,3,9.4,7.1,5,6.1,9.9,13.8,19.1,Amazonas,0,9,6.7,4.3,4.8,9.1,13.4,18.6,Amazonas,2.9,8.8,6.1,3.6,3,4,4.2,3.2
Roraima,3.5,18.1,10.8,8.5,11.7,15.6,20.2,33.7,Roraima,0,20.2,11.3,8.9,10.2,14.4,19,32.7,Roraima,3.5,13.8,5.7,6.5,5.8,3.7,4.7,4.9
Pará,2.1,8.4,4.5,3.7,4,8,12.1,15.3,Pará,0,8,4.1,3.1,3.4,7.6,11.6,15.2,Pará,2,7.3,4.1,2.5,2.5,4,3.1,2.9
Região Metropolitana de Belém,1.7,12.3,5.5,4,4.5,9.1,10.4,18.9,Região Metropolitana de Belém,0,12.2,5.6,3.9,4.1,8.6,9.9,18.5,Região Metropolitana de Belém,1.6,6.8,3,2.3,2.2,2.2,2.3,2.9
Amapá,7.7,17.6,9.5,11.6,13.6,19.4,22.7,30.9,Amapá,0,18,10.5,8.6,9.4,17.3,19.3,29.3,Amapá,6.9,17,8.9,8.4,5.4,5.3,8.3,10.5
Tocantins,4.9,12.3,13.2,7.7,8.3,15.5,14.2,28.2,Tocantins,0,11.3,13.9,6.4,6.4,14.1,12.7,26.8,Tocantins,4.8,10.2,9.4,5.4,6,6.2,5.6,5
Nordeste,1,2.8,1.9,1.7,2.3,4,4.9,7.1,Nordeste,0,3,2,1.5,1.8,3.6,4.6,6.9,Nordeste,1,2.2,1.5,1.1,1.3,1.5,1.2,1.2
Maranhão,5.5,9.8,6.2,9.3,10.9,17.7,19.2,28.3,Maranhão,0,10.1,6.5,6.1,8.1,16.1,18,28.3,Maranhão,5.4,9,5.7,6.2,5.9,6.8,5.9,6
Piauí,5,10.8,9.1,6.5,12.3,17.2,25.8,26.9,Piauí,0,10.7,10.4,5.9,8.8,17.2,23,25.2,Piauí,5,9.7,6.3,5.1,7.5,7.7,5.8,5.8
Ceará,2,6.4,4.3,3.4,5,8.9,12.8,14.4,Ceará,0,6.4,4.6,2.9,4.2,8.2,12.1,14,Ceará,1.8,3.8,3.7,2.3,2.7,3.7,3.1,3.7
Região Metropolitana de Fortaleza,1.8,9.7,5.4,3.8,4.6,9.6,13.9,16.1,Região Metropolitana de Fortaleza,0,9.9,5.6,3.5,4,9.1,13.3,15.7,Região Metropolitana de Fortaleza,1.6,6.3,3.3,2.4,2.2,2.9,2.9,2.3
Rio Grande do Norte,2.4,12,8.6,6.1,7.7,13.4,17.3,26.4,Rio Grande do Norte,0,12.7,8.6,6.5,6.6,12.8,16.4,25.5,Rio Grande do Norte,2.2,9.1,4.9,3.3,3.4,4.5,3.3,3.3
Paraíba,4,10,7.5,6.6,9.8,15.7,20.3,26.4,Paraíba,0,11,8.2,7.5,7.3,13.4,18.2,24.5,Paraíba,4,8.5,5.2,3.4,4.7,5.1,4.5,3.1
Pernambuco,2.4,6.4,4.1,3.2,4.8,11.2,10.4,15.8,Pernambuco,0,7.3,4.2,2.9,3.6,9.6,9.5,14.9,Pernambuco,2.5,4.8,3.3,2.2,4,4,2.9,1.9
Região Metropolitana de Recife,1.4,7.7,4.7,3.3,4.4,8.4,10,15.4,Região Metropolitana de Recife,0,7.9,5,3.3,4.1,7.9,9.4,14.8,Região Metropolitana de Recife,1.3,4.7,2.5,1.8,2.1,2.9,2.4,1.8
Alagoas,4,10.6,8.2,6.8,9.2,15.3,25,36.5,Alagoas,0,11.3,7.6,5.7,7.4,14.1,24.1,35.7,Alagoas,4,7.7,6.9,6.2,5.1,5.6,4.2,5.1
Sergipe,2.7,12.5,6.7,6.3,7.1,13.9,16.3,29.5,Sergipe,0,13.6,7,5.1,6.3,12.7,15.7,29,Sergipe,2.6,8.3,4.2,3.6,3.9,4.7,5.5,3.3
Bahia,1.7,5.7,4,3,4.3,7.2,8.8,12.7,Bahia,0,6.3,4,2.7,3.5,6.6,8.3,12.3,Bahia,1.7,4.2,2.6,1.7,2,2.8,1.9,2.3
Região Metropolitana de Salvador,1.2,9.7,5.4,3.5,4.1,8.4,9.6,14.1,Região Metropolitana de Salvador,0,9.9,5.9,3.7,3.7,7.9,9.1,13.6,Região Metropolitana de Salvador,1.1,4.4,2.3,1.5,1.8,2.3,1.7,1.5
Sudeste,0.6,5,2.7,1.7,1.4,2.2,3,4.3,Sudeste,0,5,2.8,1.7,1.2,2,2.8,4.2,Sudeste,0.5,2.7,1.7,0.9,0.8,0.8,0.7,0.6
Minas Gerais,1.6,8,4.3,2.8,2.8,4.9,5.4,7.8,Minas Gerais,0,8.1,4.3,2.7,2.1,4.3,4.7,7.4,Minas Gerais,1.6,6.2,3.6,2.1,1.8,2,1.6,1.5
Região Metropolitana de Belo Horizonte,1.2,13.6,7.3,3.8,3.4,6.5,8,11.2,Região Metropolitana de Belo Horizonte,0,13.7,7.5,4.2,3.4,6.2,7.5,10.6,Região Metropolitana de Belo Horizonte,1.1,6.5,4.1,1.8,1.6,2,1.9,1.4
Espírito Santo,2.3,19.2,10.6,5.1,5.9,9.3,11.3,14.8,Espírito Santo,0,19.7,10.7,5.1,4.9,8.7,10.8,14.8,Espírito Santo,2.4,9.2,6.1,3.7,3.5,3.3,2.4,3.1
Rio de Janeiro,0.9,9.4,4.5,2.8,2.6,4.5,5.9,7.9,Rio de Janeiro,0,9.5,4.7,2.9,2.4,4.3,5.6,7.6,Rio de Janeiro,0.8,5,2.4,1.3,1.4,1.7,1.4,1
Região Metropolitana do Rio de Janeiro,1,11.3,5.5,3.4,3,5.2,6.5,9,Região Metropolitana do Rio de Janeiro,0,11.3,5.7,3.6,2.9,4.9,6.1,8.7,Região Metropolitana do Rio de Janeiro,0.9,5.3,2.7,1.5,1.5,1.9,1.5,1
