"Tabela 1.2.3a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por microcomputador, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses",,,,,
,Valores absolutos (%),,,Valores relativos (%),,
,Total,Microcomputador,,Total,Microcomputador,
,,Total,Somente microcomputador,,Total,Somente microcomputador
Brasil,0.4,0.6,1.3,0,0.3,1.3
Norte,1.4,2,4.2,0,1.5,4.2
Rondônia,3.2,4.1,8.4,0,2.7,8.4
Acre,4.2,8.1,13.3,0,5.3,11.9
Amazonas,3,5,8.3,0,3.7,8.7
Roraima,3.5,7.7,14.2,0,5.9,13.9
Pará,2.1,3.3,7.5,0,2.5,7.2
Região Metropolitana de Belém,1.7,4,10.4,0,3.2,10.3
Amapá,7.7,9,15.7,0,5,16.9
Tocantins,4.9,5.9,12.8,0,3.1,13.9
Nordeste,1,1.4,2.6,0,0.9,2.5
Maranhão,5.5,6.4,14.3,0,4.1,13.5
Piauí,5,7.5,7.8,0,3.9,7.7
Ceará,2,2.8,5,0,1.7,5.3
Região Metropolitana de Fortaleza,1.8,3,7,0,2.1,7
Rio Grande do Norte,2.4,4.8,11.1,0,4,11.8
Paraíba,4,7.1,10.4,0,3.7,8.9
Pernambuco,2.4,3,5.5,0,1.4,5.1
Região Metropolitana de Recife,1.4,2.4,6.2,0,1.5,6.2
Alagoas,4,5.4,9.5,0,3.3,9.8
Sergipe,2.7,5.1,12.8,0,3.1,12.3
Bahia,1.7,2.7,4.8,0,1.6,4.7
Região Metropolitana de Salvador,1.2,2.6,6.2,0,1.7,6.3
Sudeste,0.6,0.8,2.1,0,0.5,2.1
Minas Gerais,1.6,2.2,3.4,0,1,3.3
Região Metropolitana de Belo Horizonte,1.2,2.2,5.9,0,1.4,5.9
Espírito Santo,2.3,3.9,10.3,0,2.6,10.5
Rio de Janeiro,0.9,1.5,4.3,0,1,4.2
Região Metropolitana do Rio de Janeiro,1,1.7,5.1,0,1.1,5.1
São Paulo,0.7,1.1,3.2,0,0.7,3.2
Região Metropolitana de São Paulo,0.8,1.5,4.7,0,1,4.7
Sul,1,1.2,2.6,0,0.7,2.6
Paraná,1.8,2.3,4.4,0,1.2,4.3
Região Metropolitana de Curitiba,1.7,2.5,7.5,0,1.4,7.5
Santa Catarina,1.5,2.4,6.3,0,1.2,5.8
Rio Grande do Sul,1.5,1.8,3.6,0,1.1,3.7
Região Metropolitana de Porto Alegre,1.1,1.9,4.3,0,1.2,4.2
Centro-Oeste,1.2,1.7,3.7,0,1,3.7
Mato Grosso do Sul,2.8,4.8,7.3,0,3.1,8.3
Mato Grosso,3.4,4.6,9.6,0,2.7,8.8
Goiás,1.9,2.8,5.4,0,1.7,5.5
Distrito Federal,1.5,2.4,8.8,0,1.4,9
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
