"Tabela 1.3.13.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grupamentos ocupacionais no trabalho principal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.2,1,0.6,0.2,0.4,0.4
Dirigentes em geral,0.2,0.9,0.6,0.3,0.3,0.4
Profissionais das ciências e das artes,0.1,0.8,0.4,0.2,0.3,0.2
Técnicos de nível médio,0.2,0.9,0.6,0.3,0.4,0.3
Trabalhadores de serviços administrativos,0.2,0.5,0.3,0.3,0.3,0.3
Trabalhadores dos serviços,0.2,0.9,0.5,0.4,0.5,0.5
Vendedores e prestadores de serviço do comércio,0.3,1.3,0.6,0.4,0.5,0.6
Trabalhadores agrícolas,1.2,3.8,2.1,2.1,2.3,2
Trabalhadores da produção de bens e serviços e de reparação e manutenção,0.3,1.4,0.6,0.3,0.5,0.5
Membros das forças armadas e auxiliares,0.4,1,0.7,0.7,1.1,0.3
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas com ocupação maldefinida.,,,,,,
