"Tabela 1.3.15.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Posição na ocupação e categoria do emprego no trabalho principal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.2,1,0.6,0.2,0.4,0.4
Empregado e trabalhador doméstico,0.1,0.6,0.4,0.2,0.3,0.3
Com carteira de trabalho assinada,0.1,0.5,0.3,0.2,0.3,0.3
Militar e funcionário público estatutário,0.2,0.8,0.6,0.3,0.5,0.3
Outro sem carteira de trabalho assinada,0.3,1.2,0.7,0.6,0.7,0.8
Empregado,0.1,0.7,0.4,0.2,0.3,0.3
Com carteira de trabalho assinada,0.1,0.5,0.3,0.2,0.3,0.3
Militar e funcionário público estatutário,0.2,0.8,0.6,0.3,0.5,0.3
Outro sem carteira de trabalho assinada,0.4,1.4,0.8,0.6,0.9,0.8
Conta própria,0.4,2.1,1,0.4,0.9,0.7
Empregador,0.3,1.5,0.8,0.4,0.6,0.6
Não remunerado,1.9,5.6,3.7,3,4.1,3.3
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,2.1,5.8,3.2,3.9,4.4,4.8
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
