"Tabela 1.3.16.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Classes de rendimento mensal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.2,0.9,0.7,0.3,0.5,0.5
Sem rendimento (2),0.4,1.3,1,0.5,0.8,0.7
Até 1/2 salário mínimo,0.7,2.3,1.2,1.2,2.1,1.6
Mais de 1/2 a 1 salário mínimos,0.6,1.8,1.2,1,1.2,1.2
Mais de 1 a 2 salário mínimos,0.3,1,0.7,0.4,0.7,0.7
Mais de 2 a 3 salário mínimos,0.3,1.2,0.8,0.4,0.6,0.6
Mais de 3 a 5 salários mínimos,0.2,0.9,0.5,0.4,0.5,0.5
Mais de 5 a 10 salário mínimos,0.2,0.8,0.5,0.3,0.5,0.3
Mais de10 a 20 salário mínimos,0.3,1.3,0.8,0.5,0.6,0.4
Mais de 20 salários mínimos,0.5,2,1.7,0.7,1.8,0.7
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,
