"Tabela 1.3.3.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (%),,,,,,"Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
Possuíam,0.3,1,0.7,0.3,0.5,0.5,Possuíam,0.2,0.9,0.7,0.3,0.5,0.5
Não possuíam,0.8,1.9,1.5,1.4,2.3,3.1,Não possuíam,0.8,2,1.5,1.4,2.3,3.1
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.4,0.7,0.7,Possuíam,0.3,1,0.7,0.3,0.5,0.5
Não possuíam,0.9,2.1,1.5,1.7,2.5,3.4,Não possuíam,0.9,2,1.5,1.7,2.5,3.4
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.4,0.7,0.7,Possuíam,0.2,0.9,0.7,0.3,0.6,0.5
Não possuíam,0.9,2.1,1.7,1.5,2.6,3.3,Não possuíam,0.9,2.1,1.7,1.5,2.6,3.3
Urbana,0.4,1.5,1.2,0.5,1.2,1,Urbana,0,0,0,0,0,0
Possuíam,0.5,1.5,1.2,0.6,1.3,1.1,Possuíam,0.2,0.7,0.4,0.3,0.4,0.4
Não possuíam,1,3,2,1.5,2.5,2.7,Não possuíam,0.8,2.3,1.5,1.4,2.2,2.7
Homens,0.5,1.5,1.2,0.6,1.2,1.1,Homens,0,0,0,0,0,0
Possuíam,0.5,1.5,1.3,0.7,1.3,1.2,Possuíam,0.2,0.8,0.5,0.3,0.4,0.4
Não possuíam,1.1,3.2,2.1,1.8,2.7,3.3,Não possuíam,1,2.5,1.7,1.6,2.5,3.1
Mulheres,0.5,1.5,1.2,0.6,1.2,1,Mulheres,0,0,0,0,0,0
Possuíam,0.5,1.6,1.3,0.7,1.3,1.1,Possuíam,0.2,0.6,0.4,0.3,0.5,0.4
Não possuíam,1.1,3,2.2,1.6,2.9,3.2,Não possuíam,0.9,2.5,1.7,1.5,2.6,3.1
Rural,2.4,4.4,3.2,7.3,7.2,8.4,Rural,0,0,0,0,0,0
Possuíam,2.9,6.5,3.7,7.9,7.9,9.1,Possuíam,1.3,4.2,2,2.3,2.5,3
Não possuíam,2.7,4.8,3.7,7.9,8.4,11.2,Não possuíam,1.5,2.7,1.7,4.1,5.1,8
Homens,2.4,4.4,3.2,7.4,7.3,8.5,Homens,0,0,0,0,0,0
Possuíam,3,6.4,3.8,7.8,8,9.2,Possuíam,1.4,4.2,2.1,2.4,2.2,3.2
Não possuíam,2.6,4.8,3.6,8.5,8.3,12.1,Não possuíam,1.5,2.6,1.6,4.4,5.3,9.1
Mulheres,2.5,4.6,3.3,7.3,7.3,8.4,Mulheres,0,0,0,0,0,0
Possuíam,3,6.9,3.8,8.3,8.1,9.2,Possuíam,1.4,4.5,2.2,2.7,3.3,3.2
Não possuíam,2.8,5.1,4.1,7.7,9,11.2,Não possuíam,1.7,3,2.1,4.4,5.7,7.9
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
