"Tabela 1.3.4.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.4.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.3.4.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e grupos de anos de estudo,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,1,0.7,0.3,0.5,0.5,Total,0,0,0,0,0,0,Total,0.2,0.9,0.7,0.3,0.5,0.5
Sem instrução e menos de 1 ano,1.6,3.3,2.3,3.1,5.3,4.2,Sem instrução e menos de 1 ano,1.6,3.3,2.3,3.2,5.3,4.2,Sem instrução e menos de 1 ano,1.1,2.7,2,2,2.7,2.5
1 a 3 anos,1.1,2.7,1.9,2.1,2.6,2.7,1 a 3 anos,1.1,2.6,1.9,2.1,2.7,2.7,1 a 3 anos,0.8,2.4,1.5,1.2,1.6,1.7
4 a 7 anos,0.6,1.8,1.1,1.1,1.6,1.7,4 a 7 anos,0.6,1.5,1,1,1.6,1.8,4 a 7 anos,0.4,1.5,0.9,0.6,0.8,0.8
8 a 10 anos,0.6,1.7,1.2,1.1,1.5,1.6,8 a 10 anos,0.6,1.5,1.1,1.1,1.4,1.6,8 a 10 anos,0.3,1.1,0.6,0.4,0.6,0.6
11 a 14 anos,0.5,1.5,1.2,0.8,1.3,1.4,11 a 14 anos,0.4,1,0.9,0.7,1.2,1.2,11 a 14 anos,0.1,0.5,0.3,0.2,0.3,0.2
15 anos ou mais,1.5,3.5,3.1,2.4,3,3.7,15 anos ou mais,1.4,3.4,2.9,2.3,2.8,3.5,15 anos ou mais,0.1,0.5,0.3,0.2,0.3,0.2
Não determinados,6.7,14.8,12.5,14.6,13.4,21.4,Não determinados,6.7,14.9,12.4,14.6,13.4,21.5,Não determinados,3.3,12.5,6.6,5.5,4,5.5
Homens,0.3,1.1,0.8,0.4,0.7,0.7,Homens,0,0,0,0,0,0,Homens,0.3,1,0.7,0.3,0.5,0.5
Sem instrução e menos de 1 ano,1.8,4,2.7,3.8,6.4,5.4,Sem instrução e menos de 1 ano,1.8,4,2.7,3.8,6.4,5.4,Sem instrução e menos de 1 ano,1.4,3.1,2.4,2.5,3.7,2.9
1 a 3 anos,1.4,3.5,2.4,2.8,3.3,3,1 a 3 anos,1.4,3.4,2.3,2.8,3.3,3,1 a 3 anos,1,3.2,1.8,1.7,2.1,2
