"Tabela 1.3.5.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.5.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.8,1.9,1.5,1.4,2.3,3.1,Total,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.3,3,2,2.6,3.9,4.7,Sem instrução e menos de 1 ano,1,2.8,1.4,2.2,3.4,3.3
1 a 3 anos,1.2,2.7,2,2.3,3.4,4.1,1 a 3 anos,0.9,2.2,1.5,1.9,2.6,3
4 a 7 anos,1.1,2.4,1.9,1.9,3,3.6,4 a 7 anos,0.7,1.4,1.2,1.3,1.9,2.4
8 a 10 anos,1.7,4.3,2.9,3.1,5.1,6.6,8 a 10 anos,1.4,3.5,2.4,2.5,4.2,5.7
11 a 14 anos,2,4.7,4,3.1,5.4,7.1,11 a 14 anos,1.8,4.1,3.6,2.8,4.9,5.9
15 anos ou mais,4.5,12.8,10.4,6.6,9.8,12.8,15 anos ou mais,4.4,12.2,10.2,6.6,9.7,12.5
Não determinados,12.8,23.8,19.4,39.2,36.4,45.2,Não determinados,12.8,23.5,19.3,39.1,36.4,44.8
Homens,0.9,2.1,1.5,1.7,2.5,3.4,Homens,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.6,3.5,2.3,3.4,6.1,5.1,Sem instrução e menos de 1 ano,1.3,3.3,1.7,2.9,5.4,3.9
1 a 3 anos,1.5,3.2,2.2,3.1,4.3,5,1 a 3 anos,1.2,2.7,1.9,2.7,3.4,3.8
4 a 7 anos,1.3,2.9,2.3,2.5,3.5,4.6,4 a 7 anos,0.9,1.8,1.7,1.7,2.6,3.4
8 a 10 anos,2.3,5.5,4.2,3.8,6,8.9,8 a 10 anos,2,4.6,3.9,3.3,5.1,7.8
11 a 14 anos,2.7,6.2,5.7,4.2,6.6,10.6,11 a 14 anos,2.5,5.5,5.2,3.9,6.3,9.5
15 anos ou mais,6.7,16.3,15.6,9.7,14.6,23.9,15 anos ou mais,6.7,16,15.4,9.7,15,23.3
Não determinados,16.5,22.3,23.7,100,70.6,99.5,Não determinados,16.5,22,23.7,100,70.8,99.5
Mulheres,0.9,2.1,1.7,1.5,2.6,3.3,Mulheres,0,0,0,0,0,0
Sem instrução e menos de 1 ano,1.5,3.7,2.3,2.9,4.1,5.8,Sem instrução e menos de 1 ano,1.2,3.2,1.6,2.5,3.8,4.3
1 a 3 anos,1.5,3.2,2.6,2.8,4.1,5.1,1 a 3 anos,1.2,2.8,1.9,2.4,3.1,4.2
4 a 7 anos,1.2,2.9,2.2,2.1,3.6,4.4,4 a 7 anos,0.9,2,1.5,1.6,2.2,3.1
8 a 10 anos,2.1,4.2,3.3,3.9,6.1,7.4,8 a 10 anos,1.8,3.8,2.8,3.4,5.3,6.8
11 a 14 anos,2.3,5.4,4.2,3.8,6.3,8.2,11 a 14 anos,2.1,4.7,3.8,3.4,5.8,7.2
15 anos ou mais,5.4,17.4,12,8,12.5,15.4,15 anos ou mais,5.3,16.5,11.8,8,12.1,15.3
Não determinados,16.4,31.3,27.2,42.2,42.4,50.7,Não determinados,16.3,30.9,27.3,42.1,42.2,50.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
