"Tabela 1.3.7.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os nível de instrução - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.7.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e nível de instrução,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.8,1.9,1.5,1.4,2.3,3.1,Total,0,0,0,0,0,0
Sem instrução,1.3,3,2,2.6,3.9,4.7,Sem instrução,1,2.8,1.4,2.2,3.4,3.3
Fundamental incompleto,0.9,2.1,1.7,1.6,2.6,3.1,Fundamental incompleto,0.5,1,0.9,0.9,1.3,1.5
Fundamental completo,2.1,5.8,3.8,3.3,5.5,7.7,Fundamental completo,1.8,5.2,3.3,2.9,4.6,6.9
Médio incompleto,2.6,4.5,4,5.4,8.9,8.7,Médio incompleto,2.4,3.9,3.8,5,8.5,8
Médio completo,2.1,4.8,4.2,3.3,5.5,7.5,Médio completo,1.9,4.2,3.7,2.9,5,6.3
Superior incompleto,6.9,14.5,14.1,12,14.4,20.4,Superior incompleto,6.8,14.2,14,11.9,14.1,20.4
Superior completo,4.4,13.4,9.9,6.4,10.3,13.8,Superior completo,4.4,12.8,9.9,6.5,10.4,13.4
Não determinado,11.8,22.5,18.8,34.7,30,38.2,Não determinado,11.8,22.1,18.7,34.6,30.4,37.9
Homens,0.9,2.1,1.5,1.7,2.5,3.4,Homens,0,0,0,0,0,0
Sem instrução,1.6,3.5,2.3,3.4,6.1,5.1,Sem instrução,1.3,3.3,1.7,2.9,5.4,3.9
Fundamental incompleto,1.1,2.3,1.8,2.1,3,3.6,Fundamental incompleto,0.6,1.2,1.1,1.2,1.6,1.8
Fundamental completo,2.7,6.8,5.2,4.4,6.4,11.1,Fundamental completo,2.5,6.1,4.8,4.1,5.6,10
Médio incompleto,3.6,6.4,6.2,6.9,12.2,12.4,Médio incompleto,3.4,5.9,6,6.5,11.6,11.8
Médio completo,2.8,6.4,5.7,4.3,6.9,10.9,Médio completo,2.6,5.7,5.3,4,6.6,9.8
Superior incompleto,10.1,22.8,20.6,17,20.9,35.6,Superior incompleto,10.1,22.9,20.3,16.9,21,35.5
Superior completo,6.8,16.9,16.3,9.6,15.2,24.6,Superior completo,6.8,16.6,16.2,9.6,15.5,24
Não determinado,14.9,21.5,23,73.6,42.3,99.5,Não determinado,14.9,21.2,22.9,73.6,42.6,99.5
Mulheres,0.9,2.1,1.7,1.5,2.6,3.3,Mulheres,0,0,0,0,0,0
Sem instrução,1.5,3.7,2.3,2.9,4.1,5.8,Sem instrução,1.2,3.2,1.6,2.5,3.8,4.3
Fundamental incompleto,1.1,2.3,2,1.8,3.2,3.6,Fundamental incompleto,0.6,1.4,1.1,1.1,1.6,1.9
Fundamental completo,2.5,6.9,4.4,4.1,7.1,8.5,Fundamental completo,2.3,6.6,4,3.8,6.2,8.4
Médio incompleto,3.2,5.1,4.7,7.4,11.6,11.9,Médio incompleto,3,4.9,4.4,7,11.6,11.1
Médio completo,2.4,5.5,4.4,4,6.4,8.7,Médio completo,2.1,4.9,4,3.5,5.9,7.7
Superior incompleto,8.5,18,16.2,15.4,21.4,23.5,Superior incompleto,8.5,17.6,16,15.3,21,23.5
Superior completo,5.3,18.5,11.2,7.7,13,16.9,Superior completo,5.3,17.7,11.2,7.7,12.7,16.6
Não determinado,15.1,30,25.5,39.4,36.2,41.4,Não determinado,15.1,29.5,25.4,39.2,36.1,41
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
