"Tabela 1.3.8.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.8.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (%),,,,,,"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.1,0.2,0.2,0.1,0.2,0.2,Total,0,0,0,0,0,0
Possuíam,0.3,1,0.7,0.3,0.5,0.5,Possuíam,0.2,0.9,0.7,0.3,0.5,0.5
Não possuíam,0.8,1.9,1.5,1.4,2.3,3.1,Não possuíam,0.8,2,1.5,1.4,2.3,3.1
Estudantes,0.5,1.2,0.8,0.9,1.2,1.2,Estudantes,0,0,0,0,0,0
Possuíam,0.6,1.7,1.1,1,1.4,1.4,Possuíam,0.4,1.5,1,0.5,0.8,0.8
Não possuíam,1.2,2.6,2.1,2.4,3.5,3.8,Não possuíam,1.1,2.1,1.8,2.2,3.4,3.6
Rede pública,0.6,1.4,1,1.2,1.6,1.7,Rede pública,0,0,0,0,0,0
Possuíam,0.8,2,1.3,1.4,1.8,1.8,Possuíam,0.5,1.8,1.2,0.7,1.1,1.1
Não possuíam,1.3,2.7,2.1,2.6,3.7,4.1,Não possuíam,1,2,1.6,2.2,3.1,3.4
Rede privada,1.2,3.4,2.6,2,3,3,Rede privada,0,0,0,0,0,0
Possuíam,1.3,3.6,2.7,2,3,3,Possuíam,0.2,0.7,0.6,0.4,0.4,0.5
Não possuíam,3.7,8.3,5.6,6.9,12.3,11.5,Não possuíam,3.6,7.9,5.3,6.7,12.1,10.9
Não estudantes,0.2,0.5,0.3,0.3,0.4,0.4,Não estudantes,0,0,0,0,0,0
Possuíam,0.3,1,0.7,0.4,0.5,0.6,Possuíam,0.2,0.9,0.7,0.3,0.5,0.5
Não possuíam,0.9,2.3,1.6,1.6,2.6,3.6,Não possuíam,0.9,2.3,1.6,1.5,2.5,3.6
Homens,0.2,0.4,0.3,0.3,0.5,0.5,Homens,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.4,0.7,0.7,Possuíam,0.3,1,0.7,0.3,0.5,0.5
Não possuíam,0.9,2.1,1.5,1.7,2.5,3.4,Não possuíam,0.9,2,1.5,1.7,2.5,3.4
Estudantes,0.6,1.5,1.1,1.2,1.6,1.8,Estudantes,0,0,0,0,0,0
Possuíam,0.8,2.1,1.6,1.4,1.9,2.1,Possuíam,0.5,1.8,1.2,0.7,1.1,1
Não possuíam,1.4,2.9,2.3,2.9,4.3,4.4,Não possuíam,1.2,2.2,1.9,2.6,3.9,4.1
Rede pública,0.8,1.7,1.3,1.6,2,2.2,Rede pública,0,0,0,0,0,0
Possuíam,1,2.4,1.7,1.8,2.3,2.5,Possuíam,0.7,2.1,1.4,1,1.5,1.3
Não possuíam,1.5,3,2.4,3.1,4.4,4.7,Não possuíam,1.2,2.1,1.7,2.6,3.8,4
Rede privada,1.6,4.4,3.2,2.5,3.6,4.1,Rede privada,0,0,0,0,0,0
Possuíam,1.6,4.5,3.4,2.6,3.7,4.1,Possuíam,0.4,1.1,0.9,0.6,0.7,0.8
Não possuíam,4.7,12.3,7.1,8.6,15.5,14.8,Não possuíam,4.5,11.3,6.6,8.2,15.2,14.1
Não estudantes,0.2,0.7,0.4,0.4,0.5,0.6,Não estudantes,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.5,0.7,0.8,Possuíam,0.3,1,0.7,0.3,0.5,0.5
Não possuíam,1.1,2.6,1.7,1.9,3,4.2,Não possuíam,1,2.4,1.6,1.8,2.8,4.1
Mulheres,0.2,0.4,0.3,0.3,0.4,0.5,Mulheres,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.4,0.7,0.7,Possuíam,0.2,0.9,0.7,0.3,0.6,0.5
Não possuíam,0.9,2.1,1.7,1.5,2.6,3.3,Não possuíam,0.9,2.1,1.7,1.5,2.6,3.3
Estudantes,0.6,1.4,1.1,1.2,1.6,1.7,Estudantes,0,0,0,0,0,0
Possuíam,0.8,2,1.5,1.3,1.8,1.8,Possuíam,0.4,1.6,1.1,0.6,0.8,0.9
