"Tabela 1.3.14.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.14.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,,Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,0.8,0.6,0.4,0.8,0.7,Total,0,0,0,0,0,0
Agrícola,2.2,4.2,3,5.9,6.4,5.7,Agrícola,2.1,3.9,2.9,5.8,6.1,5.6
Indústria,1.3,4.7,3.2,2,3,4,Indústria,1.3,4.5,3,2,2.8,3.9
Indústria de transformação,1.4,5.3,3.3,2,3.1,4.1,Indústria de transformação,1.4,5.1,3.2,2,2.9,4
Construção,1.1,2.7,2.2,1.9,2.7,2.8,Construção,1.1,2.9,2.2,1.9,2.9,2.9
Comércio e reparação,0.9,2.2,1.7,1.5,2.1,2.3,Comércio e reparação,0.8,2.2,1.7,1.4,2.1,2.2
Alojamento e alimentação,1.6,3.8,2.6,2.6,4.9,3.8,Alojamento e alimentação,1.5,3.7,2.6,2.6,4.9,3.8
"Transporte, armazenagem e comunicação",1.3,3.4,2.7,2,3,3.3,"Transporte, armazenagem e comunicação",1.3,3.5,2.6,2,3,3.3
Administração pública,1.5,3.3,2.7,2.9,3.7,3.7,Administração pública,1.5,3.3,2.8,2.8,3.6,3.6
"Educação, saúde e serviços sociais",1,2.8,2,1.7,2.5,2.8,"Educação, saúde e serviços sociais",1,2.9,1.9,1.7,2.4,2.7
Serviços domésticos,1.3,3.2,2.6,2.2,3.5,3.2,Serviços domésticos,1.3,3.3,2.5,2.2,3.6,3.2
"Outros serviços coletivos, sociais e pessoais",1.4,3.9,2.9,2.2,3.6,4.2,"Outros serviços coletivos, sociais e pessoais",1.4,3.9,2.9,2.2,3.5,4.1
Outras atividades,1.2,3.4,2.4,1.7,2.6,3.1,Outras atividades,1.1,3.4,2.3,1.7,2.6,2.9
Atividades maldefinidas,11,25.9,17.7,18.2,35.6,40.5,Atividades maldefinidas,11,25.8,17.8,18.2,35.6,40.6
Possuíam,0.3,1.1,0.9,0.5,0.8,0.8,Possuíam,0,0,0,0,0,0
Agrícola,2.6,5.5,3.5,6.1,6.9,6.1,Agrícola,2.5,5.3,3.5,6.1,6.8,6.1
Indústria,1.3,3.7,3.1,2,3,3.9,Indústria,1.3,3.5,2.9,1.9,2.9,3.8
Indústria de transformação,1.4,4,3.3,2.1,3.1,4,Indústria de transformação,1.4,3.9,3.1,2,3,3.9
Construção,1.2,3,2.5,2,2.9,3,Construção,1.2,2.9,2.3,2,3.1,3
Comércio e reparação,0.9,2.4,1.8,1.5,2.2,2.3,Comércio e reparação,0.8,2,1.5,1.4,2,2.1
Alojamento e alimentação,1.6,3.7,2.8,2.7,5,3.8,Alojamento e alimentação,1.6,3.6,2.6,2.6,4.9,3.8
"Transporte, armazenagem e comunicação",1.3,3.4,2.8,2.1,2.9,3.4,"Transporte, armazenagem e comunicação",1.3,3.3,2.6,2,2.9,3.3
Administração pública,1.5,3.5,2.8,2.9,3.7,3.7,Administração pública,1.5,3.2,2.8,2.8,3.7,3.6
"Educação, saúde e serviços sociais",1.1,2.7,2.1,1.8,2.5,2.8,"Educação, saúde e serviços sociais",1,2.6,1.9,1.7,2.3,2.6
Serviços domésticos,1.4,3.6,2.7,2.3,3.8,3.3,Serviços domésticos,1.4,3.6,2.5,2.3,3.8,3.3
