"Tabela 1.3.15.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.15.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,,"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,0.3,0.8,0.6,0.4,0.8,0.7,Total,0,0,0,0,0,0
Empregado e trabalhador doméstico,0.4,1.1,0.9,0.5,1,0.9,Empregado e trabalhador doméstico,0.3,1.1,0.8,0.5,0.9,0.7
Com carteira de trabalho assinada,0.6,2,1.5,0.9,1.4,1.5,Com carteira de trabalho assinada,0.6,2,1.5,0.8,1.3,1.4
Militar e funcionário público estatutário,1.3,3.1,2.5,2.4,3.2,3.3,Militar e funcionário público estatutário,1.3,3.1,2.5,2.4,3.2,3.2
Outro sem carteira de trabalho assinada,0.8,1.8,1.3,1.5,2,2.2,Outro sem carteira de trabalho assinada,0.8,1.9,1.2,1.4,2.1,2.2
Empregado,0.4,1.1,1,0.6,1,1,Empregado,0.4,1.1,0.9,0.5,0.9,0.9
Com carteira de trabalho assinada,0.6,2,1.6,0.9,1.4,1.5,Com carteira de trabalho assinada,0.6,2,1.5,0.9,1.3,1.4
Militar e funcionário público estatutário,1.3,3.1,2.5,2.4,3.2,3.3,Militar e funcionário público estatutário,1.3,3.1,2.5,2.4,3.2,3.2
Outro sem carteira de trabalho assinada,0.9,2,1.5,1.7,2.6,2.6,Outro sem carteira de trabalho assinada,0.9,2,1.4,1.7,2.5,2.6
Conta própria,0.7,2,1.4,1.2,2.1,2.2,Conta própria,0.7,1.9,1.3,1.1,2,1.9
Empregador,2.1,5.6,4.8,3.5,4.4,5.1,Empregador,2.1,5.5,4.7,3.4,4.2,5
Não remunerado,3.2,6.9,5.1,7.8,7.6,8.4,Não remunerado,3.1,6.7,5,7.6,7.4,8.4
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4,9.9,6.1,8.5,9.6,11,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,3.9,9.7,5.9,8.3,9.3,10.8
Possuíam,0.3,1.1,0.9,0.5,0.8,0.8,Possuíam,0,0,0,0,0,0
