"Tabela 1.3.16.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.16.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Pessoas de 10 anos ou mais de idade (%),,,,,,Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),0.1,0.2,0.2,0.1,0.2,0.2,Total (1),0,0,0,0,0,0
Sem rendimento (2),0.4,0.9,0.6,0.6,1,0.9,Sem rendimento (2),0.4,0.9,0.6,0.6,1,0.9
Até 1/2 salário mínimo,1.1,2.5,1.5,2.5,4.4,4,Até 1/2 salário mínimo,1.1,2.6,1.6,2.5,4.4,4
Mais de 1/2 a 1 salário mínimos,1,1.9,1.5,2.3,3,3.4,Mais de 1/2 a 1 salário mínimos,1,2,1.5,2.3,3,3.4
Mais de 1 a 2 salário mínimos,0.4,1.1,0.8,0.8,1,1.3,Mais de 1 a 2 salário mínimos,0.4,1.1,0.8,0.8,1,1.3
Mais de 2 a 3 salário mínimos,0.7,2.3,1.6,1.1,1.4,1.8,Mais de 2 a 3 salário mínimos,0.7,2.2,1.6,1,1.4,1.8
Mais de 3 a 5 salários mínimos,1,3.1,2.9,1.5,2.2,2.6,Mais de 3 a 5 salários mínimos,1,3.1,2.9,1.5,2.1,2.6
Mais de 5 a 10 salário mínimos,1.6,4.1,4.4,2.6,3,3.7,Mais de 5 a 10 salário mínimos,1.6,4,4.3,2.6,3,3.7
Mais de10 a 20 salário mínimos,2.9,8.2,6.7,4.4,5.9,6.5,Mais de10 a 20 salário mínimos,2.9,8.1,6.7,4.4,5.9,6.5
Mais de 20 salários mínimos,4.9,14.4,11.6,7.5,8.7,11,Mais de 20 salários mínimos,4.9,14.4,11.6,7.5,8.7,11
Possuíam (1),0.3,1,0.7,0.3,0.5,0.5,Possuíam (1),0,0,0,0,0,0
Sem rendimento (2),0.5,1.4,1,0.8,1.2,1.1,Sem rendimento (2),0.4,0.9,0.8,0.7,1.1,1
Até 1/2 salário mínimo,1.2,2.6,1.8,2.5,4.4,3.9,Até 1/2 salário mínimo,1.3,2.6,1.9,2.6,4.5,4
Mais de 1/2 a 1 salário mínimos,1.2,2.5,1.8,2.5,3,3.6,Mais de 1/2 a 1 salário mínimos,1.1,2.3,1.7,2.5,3,3.6
Mais de 1 a 2 salário mínimos,0.5,1.3,1.1,0.9,1.2,1.4,Mais de 1 a 2 salário mínimos,0.5,1.1,0.8,0.9,1.1,1.4
Mais de 2 a 3 salário mínimos,0.7,2.5,1.9,1.1,1.6,1.9,Mais de 2 a 3 salário mínimos,0.7,2.2,1.6,1.1,1.4,1.8
Mais de 3 a 5 salários mínimos,1.1,3.3,3,1.6,2.2,2.7,Mais de 3 a 5 salários mínimos,1,3,2.7,1.5,2,2.5
Mais de 5 a 10 salário mínimos,1.6,4.2,4.4,2.6,3,3.7,Mais de 5 a 10 salário mínimos,1.6,4,4.2,2.5,2.9,3.5
Mais de10 a 20 salário mínimos,2.9,8.3,6.8,4.5,5.9,6.5,Mais de10 a 20 salário mínimos,2.9,8.2,6.7,4.4,5.8,6.4
Mais de 20 salários mínimos,5,14.8,11.6,7.6,8.8,11.1,Mais de 20 salários mínimos,4.9,14.8,11.5,7.5,8.8,11.1
Não possuíam (1),0.8,1.9,1.5,1.4,2.3,3.1,Não possuíam (1),0,0,0,0,0,0
Sem rendimento (2),1.1,2.3,1.9,1.9,3.1,3.3,Sem rendimento (2),0.7,1.7,1.1,1.3,2.3,2.2
Até 1/2 salário mínimo,2.1,5,2.7,5,8.6,9,Até 1/2 salário mínimo,1.7,4.4,1.9,4.6,7.7,7.8
Mais de 1/2 a 1 salário mínimos,2.4,4.2,3.7,5.5,7.8,9.6,Mais de 1/2 a 1 salário mínimos,2.1,3.2,3.1,5,7.6,8.7
Mais de 1 a 2 salário mínimos,1,3,1.7,1.8,2.8,4,Mais de 1 a 2 salário mínimos,0.7,2.4,1.3,1.2,1.6,2.4
Mais de 2 a 3 salário mínimos,1.9,6.7,3.4,3,4.5,7.3,Mais de 2 a 3 salário mínimos,1.8,6.1,3.5,2.7,3.6,6.3
Mais de 3 a 5 salários mínimos,3.5,11.2,8.8,5.1,6.9,10.5,Mais de 3 a 5 salários mínimos,3.5,10.8,8.9,5.1,6.7,9.8
Mais de 5 a 10 salário mínimos,5.1,14.8,11.8,7.7,10.6,17,Mais de 5 a 10 salário mínimos,5.2,14.3,12,7.7,10.7,17.3
Mais de10 a 20 salário mínimos,11,29.8,28,15.6,23.1,36.5,Mais de10 a 20 salário mínimos,11,30,28,15.7,23.2,36.6
Mais de 20 salários mínimos,17.7,57.9,49.7,26.3,35.6,41.4,Mais de 20 salários mínimos,17.7,57.9,49.6,26.2,35.3,41.5
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,
