"Tabela 1.3.20.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.20.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,,,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,0.1,0.3,0.8,0.2,0.3,0.9,0.2,0.3,0.9,Brasil,0,0.2,0.8,0,0.3,0.9,0,0.2,0.9
Norte,0.2,1,1.9,0.4,1.1,2.1,0.4,1.1,2.1,Norte,0,0.9,2,0,1,2,0,0.9,2.1
Rondônia,0.6,2.1,6.2,1.3,2.6,6.7,1.1,2.3,6.5,Rondônia,0,2,6.2,0,2.2,6.6,0,1.9,6.5
Acre,0.9,3.2,7,1.3,3.3,7.1,1.6,3.6,7.5,Acre,0,3.1,6.9,0,3.4,6.7,0,2.9,7.6
Amazonas,0.6,2.3,4.7,1,2.6,4.6,0.9,2.4,5.3,Amazonas,0,2.1,4.7,0,2.3,4.6,0,2.1,5.3
Roraima,0.9,2.9,8,2.2,2.9,9.4,1.9,3.8,7.9,Roraima,0,2.7,8,0,3.1,8.1,0,2.5,8.6
Pará,0.4,1.6,2.5,0.7,1.6,2.9,0.7,1.7,2.7,Pará,0,1.4,2.6,0,1.6,2.7,0,1.4,2.8
Região Metropolitana de Belém,0.4,0.9,3.5,1,1.3,4.3,0.9,1.2,4.1,Região Metropolitana de Belém,0,0.7,3.6,0,0.9,4.2,0,0.8,4.1
Amapá,1.3,5.5,11.7,2.1,4.9,14.8,2.4,6.5,10.8,Amapá,0,4.7,12.4,0,5.1,14.1,0,4.8,12.1
Tocantins,0.6,2.4,8,1.4,2.9,8.6,1.1,2.2,8.4,Tocantins,0,2.4,7.9,0,2.7,8.3,0,2.2,8.1
Nordeste,0.2,0.7,1.5,0.3,0.8,1.5,0.3,0.8,1.7,Nordeste,0,0.7,1.5,0,0.7,1.5,0,0.7,1.7
Maranhão,0.7,3.9,4.3,1,4,4.1,1.2,4.2,4.8,Maranhão,0,3.7,4.5,0,3.8,4,0,3.7,5
Piauí,0.5,3.8,7.9,1.4,4.3,7.6,1.2,3.8,8.5,Piauí,0,3.7,7.9,0,4,7.6,0,3.5,8.6
Ceará,0.4,1.8,3.2,0.7,1.9,3.1,0.7,1.9,3.7,Ceará,0,1.6,3.3,0,1.7,3.1,0,1.6,3.8
Região Metropolitana de Fortaleza,0.5,0.9,3.4,0.9,1.3,4.2,0.9,1.3,4,Região Metropolitana de Fortaleza,0,0.8,3.4,0,1,4,0,0.8,4
Rio Grande do Norte,0.6,2.1,5.6,1.2,2.4,5.5,1.4,2.7,7.8,Rio Grande do Norte,0,1.9,5.8,0,2,5.5,0,2.2,7.7
Paraíba,0.9,1.8,5.4,1.9,2.7,6.9,1.4,2,5.9,Paraíba,0,1.6,5.3,0,2.2,6.3,0,1.6,5.6
Pernambuco,0.4,1.5,4.2,0.8,1.7,4.5,0.7,1.7,4.3,Pernambuco,0,1.5,4.1,0,1.6,4.2,0,1.4,4.3
Região Metropolitana de Recife,0.3,0.7,3.2,0.9,1.1,4.2,0.7,1,3.7,Região Metropolitana de Recife,0,0.6,3.2,0,0.7,4.1,0,0.7,3.6
Alagoas,0.6,2.7,5.9,1.4,3.2,6.1,1.3,2.8,7.2,Alagoas,0,2.8,5.8,0,3.1,5.7,0,2.9,6.7
Sergipe,0.5,1.2,3.4,1.1,1.8,3.9,1.3,1.6,4.3,Sergipe,0,1.1,3.4,0,1.3,3.8,0,1.1,4.1
Bahia,0.3,1.2,2.9,0.6,1.3,3.1,0.6,1.5,3.2,Bahia,0,1.2,2.9,0,1.3,2.9,0,1.2,3.2
Região Metropolitana de Salvador,0.3,0.7,4,1,1.2,5.2,0.8,1.1,4.4,Região Metropolitana de Salvador,0,0.6,4,0,0.7,5.1,0,0.6,4.4
Sudeste,0.1,0.3,1.4,0.3,0.4,1.7,0.3,0.4,1.5,Sudeste,0,0.3,1.4,0,0.3,1.7,0,0.3,1.5
Minas Gerais,0.3,0.8,2.9,0.6,0.9,3.1,0.6,1.1,3.1,Minas Gerais,0,0.7,2.9,0,0.8,3,0,0.8,3.1
Região Metropolitana de Belo Horizonte,0.4,0.7,3.8,0.9,1.1,4.6,0.8,1.1,4.6,Região Metropolitana de Belo Horizonte,0,0.6,3.8,0,0.7,4.5,0,0.7,4.5
Espírito Santo,0.6,1.6,6.5,1.4,2,7.2,0.9,1.9,6.9,Espírito Santo,0,1.5,6.4,0,1.7,6.9,0,1.6,6.9
Rio de Janeiro,0.3,0.6,2.4,0.6,0.8,3,0.5,0.8,2.6,Rio de Janeiro,0,0.5,2.4,0,0.5,2.9,0,0.6,2.5
Região Metropolitana do Rio de Janeiro,0.3,0.7,3,0.7,0.9,3.8,0.6,0.9,3.2,Região Metropolitana do Rio de Janeiro,0,0.6,3,0,0.6,3.8,0,0.7,3.2
São Paulo,0.2,0.5,2.1,0.5,0.6,2.8,0.4,0.6,2.3,São Paulo,0,0.4,2.1,0,0.5,2.7,0,0.4,2.2
Região Metropolitana de São Paulo,0.3,0.6,2.8,0.7,0.8,3.5,0.6,0.8,3.2,Região Metropolitana de São Paulo,0,0.5,2.8,0,0.6,3.3,0,0.6,3.1
Sul,0.2,0.5,2.3,0.5,0.7,2.5,0.4,0.7,2.6,Sul,0,0.5,2.3,0,0.5,2.5,0,0.6,2.6
Paraná,0.4,0.9,3.4,0.7,1.2,3.8,0.6,1.1,3.9,Paraná,0,0.8,3.4,0,0.8,3.9,0,0.9,3.9
Região Metropolitana de Curitiba,0.5,0.9,4.3,1,1.3,5.7,0.9,1.3,5,Região Metropolitana de Curitiba,0,0.8,4.3,0,0.9,5.5,0,1,4.8
Santa Catarina,0.4,1.1,4.3,0.8,1.3,4.4,0.8,1.7,5,Santa Catarina,0,1,4.4,0,0.9,4.4,0,1.3,5.1
Rio Grande do Sul,0.3,0.7,4.2,0.8,1,4.7,0.5,1,4.9,Rio Grande do Sul,0,0.7,4.1,0,0.8,4.5,0,0.9,4.9
Região Metropolitana de Porto Alegre,0.3,0.6,3.9,0.7,0.9,4.7,0.7,0.9,4.2,Região Metropolitana de Porto Alegre,0,0.5,3.9,0,0.6,4.6,0,0.5,4.3
Centro-Oeste,0.2,0.5,3.1,0.5,0.7,3.4,0.5,0.7,3.3,Centro-Oeste,0,0.5,3.1,0,0.5,3.4,0,0.5,3.3
Mato Grosso do Sul,0.5,1.2,7,1.1,1.3,6.9,0.9,1.8,9.2,Mato Grosso do Sul,0,1.1,7,0,1,6.5,0,1.4,9.3
Mato Grosso,0.5,1.6,7.1,1,2,7.3,1.2,1.8,7.7,Mato Grosso,0,1.4,7.2,0,1.6,7.4,0,1.4,7.5
Goiás,0.4,0.8,4.6,0.8,1.1,5.5,0.8,1.1,4.8,Goiás,0,0.7,4.6,0,0.8,5.4,0,0.7,4.7
Distrito Federal,0.5,0.8,5.4,1,1.2,7,1,1.2,5.9,Distrito Federal,0,0.6,5.5,0,0.7,6.9,0,0.6,6
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
