"Tabela 1.3.21.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.21.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.3.21.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,0.3,1,0.7,0.8,0.8,0.5,0.6,0.8,1,Brasil,0,0.9,0.7,0.8,0.8,0.5,0.6,0.7,0.9,Brasil,0.2,0.8,0.4,0.3,0.3,0.2,0.3,0.4,0.6
Norte,1,2.7,2.2,2,2.1,1.4,1.7,2.2,2.5,Norte,0,2.4,1.9,1.8,1.9,1.3,1.3,1.8,2.4,Norte,0.9,2.6,1.6,1,1.1,1,1.1,1.4,1.9
Rondônia,2.1,6.7,6.6,5.1,6.2,3.6,3.7,5.6,6.8,Rondônia,0,6.8,6.1,4.2,5.5,3.3,3.1,5.4,6.5,Rondônia,2,4.9,3.2,2.9,2.1,1.8,2.6,2.8,4.7
Acre,3.2,8.3,6.7,5.4,7.6,5,5.4,7.7,10.8,Acre,0,7.6,5.8,4.8,6.5,4.6,4.5,7.1,9.9,Acre,3.1,8.2,5.1,3.4,3.2,2.8,3.3,5.7,6.5
Amazonas,2.3,6.4,3.9,3.6,4.4,3.3,3.9,5.2,6.2,Amazonas,0,5,3.2,3.6,3.7,2.7,2.9,4.3,5.8,Amazonas,2.1,6.6,3,2.3,2.4,2.4,1.8,3.7,3.6
Roraima,2.9,8.2,7.9,10.8,7.6,8.2,6.8,9.3,10.1,Roraima,0,6.8,6.7,11.6,6.2,6.6,8.1,8.6,10,Roraima,2.7,6,3.9,2.4,3.5,1.2,4.5,5.9,7.4
Pará,1.6,4.5,3.8,3.5,3.4,2.2,2.8,3.5,3.8,Pará,0,4,3.4,2.9,3.1,2.1,2.2,2.9,3.5,Pará,1.4,4.1,2.7,1.8,1.9,1.7,1.8,2.3,3.2
Região Metropolitana de Belém,0.9,5.2,3.6,3.7,3.7,2.6,2.9,4,4.4,Região Metropolitana de Belém,0,5.1,3.6,3.7,3.7,2.7,2.7,3.7,4.1,Região Metropolitana de Belém,0.7,4.1,1.7,1.2,1,0.8,1.1,1.5,2.4
Amapá,5.5,10,10.5,9.9,6.8,6.7,10.2,9.8,14.5,Amapá,0,9.2,7.4,7.5,6.9,5.2,6.7,7.4,14.3,Amapá,4.7,9.6,7.1,4.4,5,4,7.5,5.4,6.3
Tocantins,2.4,8.3,4.5,6.3,5.1,3.6,4.2,4.7,5.9,Tocantins,0,7,4.4,5.8,4.9,2.7,3.1,4.1,5.7,Tocantins,2.4,7.9,3.2,2.1,2.3,1.6,2.9,2.7,6.5
Nordeste,0.7,1.7,1.3,1.5,1.4,1.1,1.3,1.7,1.8,Nordeste,0,1.6,1.2,1.3,1.3,0.9,1,1.4,1.6,Nordeste,0.7,1.7,0.9,0.7,0.8,0.7,0.8,0.9,1.3
Maranhão,3.9,7.3,6.3,5.8,5.4,4.7,6.3,6.9,6.8,Maranhão,0,6.2,4.5,3.7,4.4,3.2,4.2,5.4,6.4,Maranhão,3.7,8.2,4.3,3.7,3.9,3.2,4.7,4.6,6.5
Piauí,3.8,8.4,4.8,6,6,5.6,5.3,7.9,8.4,Piauí,0,6.4,5.9,5.6,4.8,4.3,3.2,5.4,6.8,Piauí,3.7,9.1,3.8,3.2,2.5,2.6,4.7,3.8,6
Ceará,1.8,3.7,3.5,4.1,3.2,2.8,3.2,3.9,4,Ceará,0,4,3,3.2,3,2.1,2.7,3.2,3.7,Ceará,1.6,3.4,1.8,1.4,2,2.1,2.1,2.5,3.5
Região Metropolitana de Fortaleza,0.9,4.4,3.5,3.6,3.6,2.3,2.9,3.9,4.6,Região Metropolitana de Fortaleza,0,4.3,3.3,3.6,3.6,2.3,2.7,3.7,4.4,Região Metropolitana de Fortaleza,0.8,3.8,1.5,1.1,0.9,0.8,1,1.5,2.8
