"Tabela 1.3.22.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.22.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou mais de idade (%),,,,,,Grandes Regiões e Unidades da Federação,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,
,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,,,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,,,,
,,,,Total,Situação do domicílio,,,,,,Total,Situação do domicílio,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural,,,Urbana,Rural,,Urbana,Rural,,Urbana,Rural
Brasil,0.1,0.4,2.4,0.3,0.5,2.9,Brasil,0,0.4,2.4,0,0.3,3,0.2,0.2,1.3
Norte,0.2,1.5,4.4,1,1.5,6.5,Norte,0,1.4,4.4,0,1.1,6.5,0.9,0.7,4.2
Rondônia,0.6,4.5,15.2,2.1,4.8,18.2,Rondônia,0,4.7,14.9,0,4.1,18.3,2,1.9,5
Acre,0.9,6.8,17.2,3.2,6.8,31.6,Acre,0,6.6,17.4,0,6.1,31.3,3.1,1.5,19.2
Amazonas,0.6,1.8,9,2.3,2.3,37.3,Amazonas,0,1.6,9.1,0,1.8,36.3,2.1,1.2,34.5
Roraima,0.9,3.1,15.4,2.9,3.7,11.1,Roraima,0,2.8,15.6,0,1,13.3,2.7,2,9.7
Pará,0.4,2.7,5.9,1.6,2.6,7.6,Pará,0,2.6,5.9,0,1.7,7.8,1.4,1.1,4.5
Amapá,1.3,6.6,40.8,5.5,7,52.5,Amapá,0,5.8,41.4,0,2.9,53.9,4.7,3.8,27.4
Tocantins,0.6,4.4,16,2.4,4.9,18.1,Tocantins,0,4.4,15.8,0,3.6,18.6,2.4,1.4,7.4
Nordeste,0.2,1.2,3.2,0.7,1.2,3.7,Nordeste,0,1.2,3.2,0,0.8,3.9,0.7,0.4,2
Maranhão,0.7,5.3,7.5,3.9,5.9,9.9,Maranhão,0,5.1,7.6,0,3.3,10.5,3.7,2,7.8
Piauí,0.5,5.5,11.3,3.8,6,13.8,Piauí,0,5.6,11.2,0,4.2,13.8,3.7,1.8,8.9
Ceará,0.4,2.7,6.7,1.8,2.8,7.4,Ceará,0,2.5,6.8,0,1.7,7.7,1.6,1.3,4
Rio Grande do Norte,0.6,5.4,18.3,2.1,4.7,18.3,Rio Grande do Norte,0,5.3,18.4,0,3.7,18.8,1.9,1.7,6.4
Paraíba,0.9,3.3,12.9,1.8,3.5,14.4,Paraíba,0,3.2,12.9,0,2.7,14.6,1.6,1.7,5.6
