"Tabela 1.3.24.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.3.24.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.3.24.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,,
,Total,Nível de instrução,,,,,,,,Total,Nível de instrução,,,,,,,,Total (1),Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,0.3,0.6,0.8,0.9,0.6,1.2,1.5,4.8,Brasil,0,0.5,0.8,0.9,0.5,1.2,1.4,4.8,Brasil,0.2,0.4,0.4,0.3,0.2,0.2,0.1,1.8
Norte,1,1.6,2.2,2.4,1.6,3,3.5,10.2,Norte,0,1.3,2.1,2.2,1.2,2.9,3.3,10.3,Norte,0.9,1.5,1.5,1,0.6,0.5,0.5,7.7
Rondônia,2.1,3.2,7.2,6.8,4.1,7.2,8.3,23.5,Rondônia,0,2.9,6.5,6.9,3.1,6.8,7.9,23.7,Rondônia,2,3.1,2.4,3.3,1.3,0.9,1.3,4.3
Acre,3.2,5.9,6,6.6,4.8,9.5,10.6,23.4,Acre,0,4.8,5,5.4,4.2,9.1,10.1,22.8,Acre,3.1,6.3,3.2,2.5,1.2,1.7,1.6,13.7
Amazonas,2.3,4,5.3,4.8,3.7,6.4,7.9,22.6,Amazonas,0,3.2,5.3,4.6,2.2,6.2,7.5,23.3,Amazonas,2.1,4,4,2.4,1,1.2,0.8,21.1
Roraima,2.9,6.2,9.3,7.5,5.1,9.2,12.3,77.4,Roraima,0,5.6,9,7.1,4.1,9.1,11.4,78,Roraima,2.7,5.6,5.2,3,0.9,1.4,0.8,0
Pará,1.6,2.7,3.3,4,2.5,5.7,6.2,16.7,Pará,0,2,3.3,3.5,2,5.5,5.9,16.7,Pará,1.4,2.4,2.3,1.6,1.1,1.2,1.2,7
Região Metropolitana de Belém,0.9,3.1,3.9,3.5,2.3,6.4,7.5,17.3,Região Metropolitana de Belém,0,3.2,4,3.7,2.1,6.1,7.1,17.3,Região Metropolitana de Belém,0.7,1.7,1.4,1.1,0.5,0.7,0.5,8.4
Amapá,5.5,6,8.5,12.2,8.3,13.2,14.5,47.8,Amapá,0,7.7,6.7,9.3,4.2,10.8,11.8,47.7,Amapá,4.7,6.6,3.7,5.3,2.9,1.2,1,22.5
Tocantins,2.4,3.5,6.3,5.6,4.3,8.3,9.8,58.1,Tocantins,0,3.1,5.5,5.6,3.3,7.6,9.2,59.2,Tocantins,2.4,3.5,3.5,3.1,1.5,0.8,0.6,0
Nordeste,0.7,1,1.7,1.6,1.2,2.8,3.1,8.9,Nordeste,0,0.9,1.6,1.6,0.9,2.7,2.9,8.8,Nordeste,0.7,1,0.9,0.7,0.4,0.4,0.3,3.8
Maranhão,3.9,4.7,7.8,6.5,4.9,11.1,10.9,35.9,Maranhão,0,2.5,6.2,5.4,2.7,11.5,10.4,35.3,Maranhão,3.7,5.3,4.9,3.2,2.7,3.5,1.5,18.9
Piauí,3.8,5.7,8,6.6,5.6,14.4,13.6,99.1,Piauí,0,3.5,7.5,8.1,4.4,13.5,12.2,97.2,Piauí,3.7,6.1,3.3,1.9,1.6,1,1.7,0
Ceará,1.8,2.3,4.1,3.7,2.6,6.8,6.5,18.9,Ceará,0,1.9,3.6,3.3,1.9,6.4,6,18.4,Ceará,1.6,2.4,2.3,2.1,0.8,1.3,0.8,9.9
Região Metropolitana de Fortaleza,0.9,2.3,3.6,4.4,2.4,6.6,7.6,20.9,Região Metropolitana de Fortaleza,0,2.5,3.7,4.3,2.1,6.2,7.3,21,Região Metropolitana de Fortaleza,0.8,1.5,1.2,1.5,0.6,0.4,0.4,5.2
Rio Grande do Norte,2.1,4.4,6.9,5.3,6.1,9.2,12.1,32.4,Rio Grande do Norte,0,4.5,6.1,4.9,5.3,9.1,11.6,31.9,Rio Grande do Norte,1.9,2.9,2.6,2.7,1.2,0.6,1,7
Paraíba,1.8,3.1,4.5,6.3,4.8,9.9,13.7,41.5,Paraíba,0,4.1,4.7,6.2,3.8,9,12.6,41.8,Paraíba,1.6,2.1,2.1,1.2,0.8,0.7,0.9,0
