"Tabela 1.3.28.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.28.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.3.28.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,0.3,0.5,1.2,1.2,0.5,0.7,1.1,1.6,3,Brasil,0.2,0.4,0.7,0.6,0.3,0.3,0.2,0.2,0.3,Brasil,0,0.4,1.3,1.1,0.5,0.7,1,1.6,3
Norte,1,1.4,2.6,2.5,1.3,2.5,3.3,4.2,8.6,Norte,0.9,1.3,2.3,1.8,1,1.2,0.9,0.8,1.1,Norte,0,0.9,2.6,2.3,1.1,2.2,3,4,8.5
Rondônia,2.1,3.6,7,7.1,3.4,5.7,6.9,10.9,16.4,Rondônia,2,2.6,4.4,3.5,2.3,2.1,1.9,1.8,2.2,Rondônia,0,3,7.1,7.3,3.1,4.8,6.3,10.3,15.8
Acre,3.2,4.4,7.4,8.4,4.2,7.4,11.2,14.5,22.7,Acre,3.1,4.4,5.4,6,2.4,3.3,2.5,2.4,0,Acre,0,3.1,6.4,7.4,3.3,6.9,10.6,13.8,22.6
Amazonas,2.3,3.3,5.5,5.8,3,5.5,7.1,9.8,19.2,Amazonas,2.1,2.8,8.2,4.6,2,1.7,0.9,1.1,2.1,Amazonas,0,2,5.8,5.2,2.5,4.7,6.2,9.4,19.1
Roraima,2.9,5.8,12.3,11.2,5.5,8.8,11.4,18.1,34.2,Roraima,2.7,4.6,5.4,5.6,5.2,1.4,1.2,3.2,4.8,Roraima,0,5.6,10.9,9.7,5.4,7.9,11.8,17.3,34
